method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,objective_improved,error_message,masked_file,completed_file,run_log_file,epoch_log_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,Delta_init,Delta_final,Delta_reduction_percent,best_epoch,epochs_used,convergence_epoch,final_learning_rate,init_strategy,n_restarts,best_restart,best_restart_initial_Delta,best_restart_final_Delta,upper_bound,initial_global_mean,initial_global_median,observed_max_distance,optimizer_config_json
Hyb-Adam-UM,30,0.3,0.2988505747126437,1,55,435,130,305,130,True,True,True,True,,missing_p30_rep01_seed55.csv,HybAdamUM_completed_p30_rep01_seed55.csv,hyb_adam_um_outputs/logs/HybAdamUM_completed_p30_rep01_seed55.log,hyb_adam_um_outputs/logs/epoch_logs/HybAdamUM_completed_p30_rep01_seed55_epochs.csv,504.739028076001,1655.4136888049343,0.05412313069991111,0.40773736177461434,0.79019316598277,2094.9481216356535,0.06362992423130975,0.022083489683521043,0.01268955391095739,0.8114087172681476,0.7954471589124525,0.0,0.0,2256.3039008371725,1655.4136888049343,26.631616947047142,4500,5000,4500,0.0025,two_way_mean,1,0,2256.3039008371725,1655.4136888049343,0.375,0.15539527808532555,0.1617849635846986,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}"
Hyb-Adam-UM,30,0.3,0.2988505747126437,2,56,435,130,305,130,True,True,True,True,,missing_p30_rep02_seed56.csv,HybAdamUM_completed_p30_rep02_seed56.csv,hyb_adam_um_outputs/logs/HybAdamUM_completed_p30_rep02_seed56.log,hyb_adam_um_outputs/logs/epoch_logs/HybAdamUM_completed_p30_rep02_seed56_epochs.csv,500.59595522499876,1325.3424601558806,0.04623360200944195,0.3264390295950445,0.6326373653210587,2094.9481216356535,0.06362992423130975,0.025550637704220187,0.014872332780616239,0.8163522563940694,0.8233049748050635,0.0,0.0,2037.6441582919224,1325.3424601558806,34.95711924171964,4500,5000,4500,0.0025,two_way_mean,1,0,2037.6441582919224,1325.3424601558806,0.3564563326195086,0.15589248432076816,0.1624529998420943,0.2376375550796724,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}"
Hyb-Adam-UM,30,0.3,0.2988505747126437,3,57,435,130,305,130,True,True,True,True,,missing_p30_rep03_seed57.csv,HybAdamUM_completed_p30_rep03_seed57.csv,hyb_adam_um_outputs/logs/HybAdamUM_completed_p30_rep03_seed57.log,hyb_adam_um_outputs/logs/epoch_logs/HybAdamUM_completed_p30_rep03_seed57_epochs.csv,491.9690575090008,1528.6181004667628,0.05047945296327767,0.37650692129723223,0.729668713358533,2094.9481216356535,0.06362992423130975,0.024043396927732212,0.013646448134533822,0.8131108355900938,0.8300891723224405,0.0,0.0,2583.101516759062,1528.6181004667628,40.82237610294648,4500,5000,4500,0.0025,two_way_mean,1,0,2583.101516759062,1528.6181004667628,0.375,0.15707795583083412,0.1636564227522965,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}"
Hyb-Adam-UM,30,0.3,0.2988505747126437,4,58,435,130,305,130,True,True,True,True,,missing_p30_rep04_seed58.csv,HybAdamUM_completed_p30_rep04_seed58.csv,hyb_adam_um_outputs/logs/HybAdamUM_completed_p30_rep04_seed58.log,hyb_adam_um_outputs/logs/epoch_logs/HybAdamUM_completed_p30_rep04_seed58_epochs.csv,497.44178767300036,1406.8308319393623,0.05098410753129849,0.34651005712792177,0.67153492604913,2094.9481216356535,0.06362992423130975,0.019468602751893455,0.011616361348156107,0.8783044230675552,0.89615043220582,0.0,0.0,1974.3871897263464,1406.8308319393623,28.74595017331167,4500,5000,4500,0.0025,two_way_mean,1,0,1974.3871897263464,1406.8308319393623,0.375,0.156988897093165,0.1621379586668027,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}"
Hyb-Adam-UM,30,0.3,0.2988505747126437,5,59,435,130,305,130,True,True,True,True,,missing_p30_rep05_seed59.csv,HybAdamUM_completed_p30_rep05_seed59.csv,hyb_adam_um_outputs/logs/HybAdamUM_completed_p30_rep05_seed59.log,hyb_adam_um_outputs/logs/epoch_logs/HybAdamUM_completed_p30_rep05_seed59_epochs.csv,492.5483869089985,1281.5740776089292,0.04746225989984974,0.31565863980515496,0.61174501858706,2094.9481216356535,0.06362992423130975,0.025736241331740708,0.012807311341275811,0.7519316692795326,0.8024498491034971,0.0,0.0,1844.9591004638687,1281.5740776089292,30.53645052149343,4500,5000,4500,0.0025,two_way_mean,1,0,1844.9591004638687,1281.5740776089292,0.375,0.15566667227812842,0.1612771614138619,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}"
Hyb-Adam-UM,50,0.5,0.5011494252873563,1,55,435,218,217,218,True,True,True,True,,missing_p50_rep01_seed55.csv,HybAdamUM_completed_p50_rep01_seed55.csv,hyb_adam_um_outputs/logs/HybAdamUM_completed_p50_rep01_seed55.log,hyb_adam_um_outputs/logs/epoch_logs/HybAdamUM_completed_p50_rep01_seed55_epochs.csv,814.6617778079999,1152.456105693284,0.04161903194545065,0.2838561836682965,0.5501120021976923,2094.9481216356535,0.06362992423130975,0.026468896665453785,0.016156920865733816,0.7305719555167567,0.7037637207826166,0.0,0.0,1818.9434651093904,1152.456105693284,36.64145544930525,4500,5000,4500,0.0025,two_way_mean,1,0,1818.9434651093904,1152.456105693284,0.375,0.15588159512575941,0.1617555280979376,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}"
Hyb-Adam-UM,50,0.5,0.5011494252873563,2,56,435,218,217,218,True,True,True,True,,missing_p50_rep02_seed56.csv,HybAdamUM_completed_p50_rep02_seed56.csv,hyb_adam_um_outputs/logs/HybAdamUM_completed_p50_rep02_seed56.log,hyb_adam_um_outputs/logs/epoch_logs/HybAdamUM_completed_p50_rep02_seed56_epochs.csv,804.6934393400006,663.0042822213443,0.028949300440117877,0.1633015473451587,0.31647766136743116,2094.9481216356535,0.06362992423130975,0.030065389415373855,0.016868414000690276,0.7063413102277266,0.7352127130330133,0.0,0.0,1310.5654694062018,663.0042822213443,49.4108232134529,5000,5000,5000,0.0025,two_way_mean,1,0,1310.5654694062018,663.0042822213443,0.35010973558235414,0.15737507445997817,0.1623400745972329,0.2334064903882361,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}"
Hyb-Adam-UM,50,0.5,0.5011494252873563,3,57,435,218,217,218,True,True,True,True,,missing_p50_rep03_seed57.csv,HybAdamUM_completed_p50_rep03_seed57.csv,hyb_adam_um_outputs/logs/HybAdamUM_completed_p50_rep03_seed57.log,hyb_adam_um_outputs/logs/epoch_logs/HybAdamUM_completed_p50_rep03_seed57_epochs.csv,808.0955843979991,881.1180500981236,0.0353756302839754,0.21702415027047378,0.42059182325249234,2094.9481216356535,0.06362992423130975,0.02572546270040289,0.014056146181717662,0.7632456948181948,0.7917481578692848,0.0,0.0,1704.75341105811,881.1180500981236,48.31404680684995,4500,5000,4500,0.0025,two_way_mean,1,0,1704.75341105811,881.1180500981236,0.375,0.1565592420622674,0.1628851157813558,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}"
Hyb-Adam-UM,50,0.5,0.5011494252873563,4,58,435,218,217,218,True,True,True,True,,missing_p50_rep04_seed58.csv,HybAdamUM_completed_p50_rep04_seed58.csv,hyb_adam_um_outputs/logs/HybAdamUM_completed_p50_rep04_seed58.log,hyb_adam_um_outputs/logs/epoch_logs/HybAdamUM_completed_p50_rep04_seed58_epochs.csv,809.2167038710013,922.2481238251949,0.03632708147508827,0.22715471030177214,0.44022480284864507,2094.9481216356535,0.06362992423130975,0.02757014540092597,0.017216404793961693,0.7522008851149717,0.7816014534343294,0.0,0.0,1600.0087573029114,922.2481238251949,42.35980774381498,5000,5000,5000,0.0025,two_way_mean,1,0,1600.0087573029114,922.2481238251949,0.375,0.15749138589366848,0.1636564227522965,0.25,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}"
Hyb-Adam-UM,50,0.5,0.5011494252873563,5,59,435,218,217,218,True,True,True,True,,missing_p50_rep05_seed59.csv,HybAdamUM_completed_p50_rep05_seed59.csv,hyb_adam_um_outputs/logs/HybAdamUM_completed_p50_rep05_seed59.log,hyb_adam_um_outputs/logs/epoch_logs/HybAdamUM_completed_p50_rep05_seed59_epochs.csv,805.0813199860022,748.22389209363,0.030541376265019324,0.1842915990378399,0.3571562867673525,2094.9481216356535,0.06362992423130975,0.031095602284657478,0.01735846388556721,0.6741223465789028,0.7007521418407349,0.0,0.0,1229.885471476649,748.22389209363,39.16312457978035,5000,5000,5000,0.0025,two_way_mean,1,0,1229.885471476649,748.22389209363,0.36301501725916097,0.15842622177398352,0.162326281230481,0.2420100115061073,"{""epochs"": 5000, ""print_every"": 500, ""lr_init"": 0.02, ""lr_milestones"": [700, 2000, 4000], ""lr_factor"": 0.5, ""lr_min"": 0.0001, ""sched_patience_blocks"": 7, ""weight_decay"": 0.0, ""clip_grad_norm"": 5.0, ""h_central_diff"": 1e-05, ""beta1"": 0.9, ""beta2"": 0.999, ""adam_eps"": 1e-08, ""seed_hyb"": 42, ""init_strategy"": ""two_way_mean"", ""n_restarts"": 1, ""restart_jitter_scale"": 0.03, ""max_distance_factor"": 1.5, ""normalize_objective_by_triplets"": true, ""convergence_rel_tol"": 1e-07, ""convergence_patience_checks"": 5, ""early_stop"": false}"
