,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,0.1725993772370379,0.1726902362448983,0.17297197229905642,0.17272296345271268,0.17750100189430335,0.172583843856526,0.2289943315619272,0.1725047516195179,0.17254264792935564,0.17271936196910503,0.1763883001854261,0.194717958677123,0.17711347743581357,0.17281185195261323,0.18799000282964332,0.1666200454849597,0.17277832540991853,0.1617555280979376,0.1608899451734881,0.17263424491809984,0.1736851574729372,0.1722977141169562,0.17246768858753841,0.1728373920174995,0.1597141067452557,0.17261556703837957,0.1602093490302103,0.1914209577623657,0.17254061141374086
T2,0.1725993772370379,0.0,0.12791785572846603,0.1714468387546422,0.15559191649773993,0.1780123081369699,0.17274471168997868,0.22757526087285349,0.127621650087449,0.1344933735487258,0.16117453951949162,0.17110870986364282,0.1933855622002328,0.1576672420081427,0.0843605988577485,0.1910520570236508,0.1054613965798836,0.12801834565879122,0.12815834239416538,0.1462610399995913,0.12796673687157947,0.17198385370292296,0.12756982194763955,0.12803748974299126,0.1118471237777646,0.1098392530678665,0.10819091253114,0.1728554439836929,0.1281683672602752,0.16659998634602075
T3,0.1726902362448983,0.12791785572846603,0.0,0.17007630642818677,0.15593649501424783,0.1776536039739308,0.1636683172801019,0.2271659282186772,0.12814564727045996,0.14056455961914635,0.1610176825320255,0.1680843681699686,0.1848238392269463,0.1773730396346639,0.13722591383674054,0.18829383241831293,0.108183468834284,0.12775354700889505,0.0969410335088345,0.1728629463236186,0.1276169122000964,0.1720976261511384,0.1277983695206817,0.1152596652665479,0.12758046902378262,0.0948996121561526,0.127777472706707,0.17283299011153133,0.0675039583487564,0.1597871774078491
T4,0.17297197229905642,0.1714468387546422,0.17007630642818677,0.0,0.16963527789778735,0.1917081583033489,0.1727076384836723,0.2100284839662433,0.16996477980575037,0.1947189674462842,0.17002258575317694,0.1709123840498305,0.2070814123666118,0.1713630921745217,0.17032297333499047,0.18839175527644494,0.1656869904774419,0.17023168093752322,0.17030522484950023,0.17274251790344364,0.1700286565596377,0.17251789363932443,0.17011143726097902,0.16998448587819298,0.17013187543244532,0.158781051737738,0.1684165064286984,0.1725728027196991,0.17025551111490606,0.1699290194695563
T5,0.17272296345271268,0.15559191649773993,0.15593649501424783,0.16963527789778735,0.0,0.1658543232909023,0.17279718774076033,0.22718542315159992,0.15566916390438773,0.15585038378794505,0.16091156428548378,0.17096198269183588,0.1232409030273877,0.13474709090355794,0.15593636661556268,0.18810908261766615,0.1531296641620018,0.1472728452389169,0.1482651467749797,0.17258049699807748,0.15579334522495594,0.1617849635846986,0.15537460050213925,0.15582198383115636,0.148231596132196,0.1556414832463257,0.1558591801132583,0.1728432614361263,0.1779305764394078,0.16661187879677322
T6,0.17750100189430335,0.1780123081369699,0.1776536039739308,0.1917081583033489,0.1658543232909023,0.0,0.17775684626693442,0.2346267459367371,0.17745702487831513,0.17750848881787393,0.17754629277330794,0.17772384572899141,0.1651769612250419,0.1646320528598429,0.17796160772052588,0.18821499044729545,0.1722524598597697,0.17769984014281448,0.17768514027024393,0.17756976185772178,0.1776570779090649,0.17753205017406815,0.17758089169005903,0.1793286562920336,0.1673543918299639,0.1777211491697856,0.1749819758110261,0.17770304127512737,0.1970533721371757,0.177476917843547
T7,0.172583843856526,0.17274471168997868,0.1636683172801019,0.1727076384836723,0.17279718774076033,0.17775684626693442,0.0,0.22755319761838805,0.17280262236899308,0.17271135953495512,0.17288309385187484,0.17247816292390278,0.1945681051683513,0.17745318506052787,0.1998746253714653,0.1882408000578388,0.17239021325274645,0.17293040627681683,0.17262215578404058,0.1607400916647165,0.17259034043801472,0.1735353039641656,0.17288978175467382,0.17265993935598722,0.17266531533148408,0.1595642532364841,0.1691997079274446,0.17286002371409445,0.1912711042535941,0.17276636206636148
T8,0.2289943315619272,0.22757526087285349,0.2271659282186772,0.2100284839662433,0.22718542315159992,0.2346267459367371,0.22755319761838805,0.0,0.2273160228491628,0.2376375550796724,0.22743346039032872,0.22740386112208616,0.2266846494162783,0.2142816798079098,0.22712707162149848,0.22731133345422222,0.22757507423416665,0.22715543085773432,0.203741060723808,0.1848426852111924,0.22716654169457007,0.2305573862305334,0.2275273756048968,0.22719658013382552,0.22704360780705116,0.22732444010404912,0.22728500032297871,0.2154913903530873,0.2334064903882361,0.2271654569369099
T9,0.1725047516195179,0.127621650087449,0.12814564727045996,0.16996477980575037,0.15566916390438773,0.17745702487831513,0.17280262236899308,0.2273160228491628,0.0,0.1405728200527334,0.1606165031652715,0.17133071051244103,0.2063361586613651,0.17737415852119603,0.13796704945440055,0.18800122745366557,0.12823166876589845,0.12803389253064118,0.12860229201177217,0.17265869249206123,0.1019097817724267,0.17231151932056618,0.1304560780586326,0.1254881894732798,0.124797720238897,0.12805079551081433,0.083996478098491,0.17285877839192892,0.1544967005461088,0.1664752501865754
T10,0.17254264792935564,0.1344933735487258,0.14056455961914635,0.1947189674462842,0.15585038378794505,0.17750848881787393,0.17271135953495512,0.2376375550796724,0.1405728200527334,0.0,0.1856122032888749,0.17103498939269687,0.17807391559341096,0.17771963219156803,0.1621379586668027,0.2143241857152928,0.1404522693516116,0.1341605015761275,0.14086997405969814,0.17277663733945758,0.1406819711609833,0.17230447010543665,0.1407776102891422,0.1358097217037895,0.14100960436397325,0.1331113817595084,0.14097402739641177,0.17315831446722635,0.1406825942705366,0.1916210290727776
T11,0.17271936196910503,0.16117453951949162,0.1610176825320255,0.17002258575317694,0.16091156428548378,0.17754629277330794,0.17288309385187484,0.22743346039032872,0.1606165031652715,0.1856122032888749,0.0,0.1605629014468759,0.1846781395121959,0.1489598193201058,0.1899846597153098,0.1807544469008947,0.1565802263200326,0.1507234073969477,0.1517157089330105,0.17269239013755508,0.1609218924022283,0.17209711813601428,0.16086956333833607,0.1636564227522965,0.1609413973818041,0.16097127644271675,0.1593097422712891,0.17281542115453954,0.16109022552880908,0.1596414776930987
T12,0.1763883001854261,0.17110870986364282,0.1680843681699686,0.1709123840498305,0.17096198269183588,0.17772384572899141,0.17247816292390278,0.22740386112208616,0.17133071051244103,0.17103498939269687,0.1605629014468759,0.0,0.198984156058218,0.1780413317883245,0.204290676261332,0.18810158806019614,0.1708862428660548,0.17090482416439237,0.17096716260914263,0.17288125365511306,0.1752279089482505,0.1721657752804092,0.1709698905071941,0.170667575830481,0.17089054991434943,0.1639803041263507,0.17109945595649978,0.17303324400234127,0.17115289363698805,0.17113978245693684
