restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,1273.6011671576646,1273.6011671576646,0.3136948687580455,0.3136948687580455,1,0.02,218,checkpoint
0,500,722.1798589545298,722.1798589545298,0.1778768125503768,0.1778768125503768,500,0.02,218,checkpoint
0,1000,680.0751836804565,680.0751836804565,0.16750620287695972,0.16750620287695972,1000,0.01,218,checkpoint
0,1500,674.3063184447883,674.3063184447883,0.16608530010955377,0.16608530010955377,1500,0.01,218,checkpoint
0,2000,667.6322671004299,667.6322671004299,0.16444144509862804,0.16444144509862804,2000,0.005,218,checkpoint
0,2500,656.4741840188804,656.4741840188804,0.16169314877312324,0.16169314877312324,2500,0.005,218,checkpoint
0,3000,656.3752820895884,656.3752820895884,0.16166878869201684,0.16166878869201684,3000,0.005,218,checkpoint
0,3500,656.5665809378646,656.3752820895884,0.16171590663494204,0.16166878869201684,3000,0.005,218,checkpoint
0,4000,656.843820266598,656.3752820895884,0.16178419218389112,0.16166878869201684,3000,0.0025,218,checkpoint
0,4500,650.2115730751532,650.2115730751532,0.160150633762353,0.160150633762353,4500,0.0025,218,checkpoint
0,5000,650.1740594692487,650.1740594692487,0.16014139395794305,0.16014139395794305,5000,0.0025,218,checkpoint
