restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,1065.6490070770017,1065.6490070770017,0.2624751248958132,0.2624751248958132,1,0.01,218,checkpoint
0,500,760.2565631435941,760.2565631435941,0.18725531111911184,0.18725531111911184,500,0.01,218,checkpoint
0,1000,752.0209504079942,752.0209504079942,0.18522683507586063,0.18522683507586063,1000,0.005,218,checkpoint
0,1500,751.8991958887817,751.8991958887817,0.18519684627802505,0.18519684627802505,1500,0.005,218,checkpoint
0,2000,751.7294125364683,751.7294125364683,0.18515502771834194,0.18515502771834194,2000,0.0025,218,checkpoint
0,2500,747.9742153885343,747.9742153885343,0.18423010231244685,0.18423010231244685,2500,0.0025,218,checkpoint
0,3000,748.0924059921367,747.9742153885343,0.18425921329855585,0.18423010231244685,2500,0.0025,218,checkpoint
0,3500,748.2186772754235,747.9742153885343,0.184290314599858,0.18423010231244685,2500,0.0025,218,checkpoint
0,4000,747.7968462136447,747.7968462136447,0.1841864153235578,0.1841864153235578,4000,0.00125,218,checkpoint
0,4500,745.9861869179499,745.9861869179499,0.18374044012757387,0.18374044012757387,4500,0.00125,218,checkpoint
0,5000,745.8638988102,745.8638988102,0.18371031990399014,0.18371031990399014,5000,0.00125,218,checkpoint
