restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,2208.5238984043235,1818.9434651093904,0.5439714035478629,0.4480156318003425,0,0.02,218,checkpoint
0,500,1185.7280679843866,1185.7280679843866,0.2920512482720164,0.2920512482720164,500,0.01,218,checkpoint
0,1000,1180.17952442876,1180.17952442876,0.290684611928266,0.290684611928266,1000,0.005,218,checkpoint
0,1500,1161.3480475563465,1161.3480475563465,0.28604631713210504,0.28604631713210504,1500,0.005,218,checkpoint
0,2000,1162.5591923033805,1161.3480475563465,0.28634462864615284,0.28604631713210504,1500,0.005,218,checkpoint
0,2500,1159.8087584683244,1159.8087584683244,0.28566718188874984,0.28566718188874984,2500,0.0025,218,checkpoint
0,3000,1154.8563944044365,1154.8563944044365,0.284447387784344,0.284447387784344,3000,0.0025,218,checkpoint
0,3500,1152.365104412048,1152.365104412048,0.2838337695596177,0.2838337695596177,3500,0.0025,218,checkpoint
0,4000,1154.787664358939,1152.365104412048,0.2844304592017091,0.2838337695596177,3500,0.0025,218,checkpoint
0,4500,1152.2803997392007,1152.2803997392007,0.2838129063397046,0.2838129063397046,4500,0.0025,218,checkpoint
0,5000,1154.1297175343907,1152.2803997392007,0.28426840333359377,0.2838129063397046,4500,0.0025,218,checkpoint
