,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,0.17237989376216,-1.0,-1.0,0.1602219089160923,-1.0,0.038428982232581,-1.0,-1.0,0.195652022453802,0.1620822836394039,-1.0,-1.0,0.1589996384850329,0.2000244788802369,0.0365657043284424,0.1666200454849597,-1.0,-1.0,0.1608899451734881,0.1709617115671554,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1602093490302103,-1.0,0.1696812968580258
T2,0.17237989376216,0.0,0.1139433171114843,0.1714468387546422,-1.0,-1.0,0.1722300402533884,0.2143654263880304,0.1241718413182162,-1.0,-1.0,-1.0,-1.0,0.1576672420081427,0.0843605988577485,0.1910520570236508,-1.0,-1.0,0.1118806744205483,0.1462610399995913,-1.0,0.1739429484307662,-1.0,-1.0,0.1118471237777646,0.1098392530678665,-1.0,-1.0,0.1415461040849765,-1.0
T3,-1.0,0.1139433171114843,0.0,0.1628851157813558,-1.0,0.1694505851636835,-1.0,0.205803703414744,0.1268939135726167,-1.0,0.1537783516239464,0.1680843681699686,-1.0,-1.0,-1.0,0.1824903340503644,-1.0,0.0724626251106067,0.0969410335088345,0.1376993170263049,-1.0,-1.0,-1.0,0.1152596652665479,-1.0,0.0948996121561526,-1.0,0.1503152295800336,-1.0,-1.0
T4,-1.0,0.1714468387546422,0.1628851157813558,0.0,-1.0,0.1917081583033489,0.1859258904197674,0.2100284839662433,-1.0,-1.0,0.1760359247636119,0.190341941309634,-1.0,-1.0,0.1990914238727192,0.2047479071900298,-1.0,0.1598301715543571,0.1608224730904198,-1.0,-1.0,0.1876387985971452,0.1664472802673717,-1.0,0.1607889224476361,-1.0,0.1684165064286984,0.1725728027196991,-1.0,-1.0
T5,0.1602219089160923,-1.0,-1.0,-1.0,0.0,-1.0,0.1600720554073207,-1.0,-1.0,0.1821616411308441,0.1501820897511652,0.1644881062971873,-1.0,-1.0,-1.0,-1.0,0.1531296641620018,0.1472728452389169,-1.0,-1.0,-1.0,0.1617849635846986,0.1538899539519316,-1.0,-1.0,0.1462237254222978,0.1558591801132583,-1.0,-1.0,0.0522017592946794
T6,-1.0,-1.0,0.1694505851636835,0.1917081583033489,-1.0,0.0,-1.0,0.2346267459367371,0.1909629045981023,-1.0,0.1677146980142139,-1.0,0.2003503730519329,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.166522359548298,0.1765941259419654,0.1793175718477472,0.1730127496496994,-1.0,0.1673543918299639,-1.0,-1.0,-1.0,-1.0,0.1753137112328358
T7,0.038428982232581,0.1722300402533884,-1.0,0.1859258904197674,0.1600720554073207,-1.0,0.0,-1.0,0.1851806367145207,-1.0,-1.0,-1.0,-1.0,-1.0,0.1998746253714653,-1.0,-1.0,0.1606133730531032,-1.0,0.1607400916647165,-1.0,0.1735353039641656,0.1672304817661178,0.173546388408452,0.1615721239463823,-1.0,0.1691997079274446,0.1600594955214387,-1.0,-1.0
T8,-1.0,0.2143654263880304,0.205803703414744,0.2100284839662433,-1.0,0.2346267459367371,-1.0,0.0,-1.0,0.2376375550796724,-1.0,-1.0,0.25,-1.0,0.2420100115061073,-1.0,0.2086055781108302,-1.0,-1.0,-1.0,-1.0,-1.0,0.2093658679007599,0.2156817745430941,0.2037075100810244,-1.0,0.2113350940620866,-1.0,0.2334064903882361,0.2249633381809028
T9,-1.0,0.1241718413182162,0.1268939135726167,-1.0,-1.0,0.1909629045981023,0.1851806367145207,-1.0,0.0,-1.0,0.1752906710583652,0.1895966876043874,0.2063361586613651,0.170617838469275,0.1518164264362931,0.2040026534847831,-1.0,-1.0,0.1248312708816807,-1.0,0.1019097817724267,-1.0,-1.0,-1.0,0.124797720238897,0.1227898495289988,0.083996478098491,-1.0,-1.0,-1.0
T10,0.195652022453802,-1.0,-1.0,-1.0,0.1821616411308441,-1.0,-1.0,0.2376375550796724,-1.0,0.0,0.1856122032888749,-1.0,0.2166576908918747,0.1809393706997847,-1.0,-1.0,0.0915884943777442,0.1341605015761275,0.1351528031121903,-1.0,0.1122313140029363,0.1972150771224082,-1.0,0.1358097217037895,0.1351192524694066,-1.0,-1.0,0.1821490812449621,-1.0,-1.0
