pct_missing,frac_missing_requested,replicate,mask_seed,missingness_actual,n_pairs_total,n_missing,n_observed,optimized_variables,masked_file
30,0.3,1,55,0.2988505747126437,435,130,305,130,missing_p30_rep01_seed55.csv
30,0.3,2,56,0.2988505747126437,435,130,305,130,missing_p30_rep02_seed56.csv
30,0.3,3,57,0.2988505747126437,435,130,305,130,missing_p30_rep03_seed57.csv
30,0.3,4,58,0.2988505747126437,435,130,305,130,missing_p30_rep04_seed58.csv
30,0.3,5,59,0.2988505747126437,435,130,305,130,missing_p30_rep05_seed59.csv
50,0.5,1,55,0.5011494252873563,435,218,217,218,missing_p50_rep01_seed55.csv
50,0.5,2,56,0.5011494252873563,435,218,217,218,missing_p50_rep02_seed56.csv
50,0.5,3,57,0.5011494252873563,435,218,217,218,missing_p50_rep03_seed57.csv
50,0.5,4,58,0.5011494252873563,435,218,217,218,missing_p50_rep04_seed58.csv
50,0.5,5,59,0.5011494252873563,435,218,217,218,missing_p50_rep05_seed59.csv
65,0.65,1,55,0.6505747126436782,435,283,152,283,missing_p65_rep01_seed55.csv
65,0.65,2,56,0.6505747126436782,435,283,152,283,missing_p65_rep02_seed56.csv
65,0.65,3,57,0.6505747126436782,435,283,152,283,missing_p65_rep03_seed57.csv
65,0.65,4,58,0.6505747126436782,435,283,152,283,missing_p65_rep04_seed58.csv
65,0.65,5,59,0.6505747126436782,435,283,152,283,missing_p65_rep05_seed59.csv
85,0.85,1,55,0.8505747126436781,435,370,65,370,missing_p85_rep01_seed55.csv
85,0.85,2,56,0.8505747126436781,435,370,65,370,missing_p85_rep02_seed56.csv
85,0.85,3,57,0.8505747126436781,435,370,65,370,missing_p85_rep03_seed57.csv
85,0.85,4,58,0.8505747126436781,435,370,65,370,missing_p85_rep04_seed58.csv
85,0.85,5,59,0.8505747126436781,435,370,65,370,missing_p85_rep05_seed59.csv
