,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,0.016069694680537424,0.08120257424610203,0.03559023638985907,0.10508959580974855,0.1738011080558172,0.1693854085987399,0.19246377536803655,0.14924229422758822,0.022844827229931735,0.16114243945101492,0.07967919277520208,0.14598322264335103,0.16624882871243732,0.176984407554228,0.18210286401119788,0.13007337298747146,0.14873847825195508,0.15803825444616365,0.1627292175271835,0.1709617115671554,0.1736851574729372,0.12544855428390392,0.12923698905193204,0.1617219774551539,0.1329427760565963,0.09177950985593049,0.05878442322358804,0.08942082634143769,0.1696812968580258
T2,0.016069694680537424,0.0,0.0833028551634126,0.11711802348470815,0.10364181530782951,0.1780123081369699,0.15498679693124334,0.2143654263880304,0.1241718413182162,0.1233998899081851,0.1335545886810831,0.1367975621176132,0.1305694067441469,0.1336136486024022,0.18372016212692738,0.1784469102143355,0.0049557355337233305,0.1105931013385382,0.07853509059229585,0.07199623290057924,0.12590291016558944,0.1673399324324064,0.10975281408738728,0.1065462759152903,0.1062141904438848,0.009512395732361081,0.0866517734358998,0.09139720096668372,0.16986686932432807,0.1683489003811356
T3,0.08120257424610203,0.0833028551634126,0.0,0.06798678173427357,0.12037480067053095,0.13452222294099103,0.13023620588250495,0.15479754177900673,0.13254352755099355,0.04693122782567788,0.15483421024086608,0.0888069075135626,0.0733788724327025,0.1491055190348562,0.14803724843984323,0.14471777571509517,0.108183468834284,0.018183635248035457,0.1259290156194275,0.035380919864607806,0.1125251349164797,0.14060164424840638,0.0434633358612801,0.0783515274605261,0.13383077271253915,0.12193774191163147,0.07977104716833802,0.060675565996910326,0.16427799460721731,0.1597871774078491
T4,0.03559023638985907,0.11711802348470815,0.06798678173427357,0.0,0.1790845797785294,0.16800446121840082,0.17105840297741765,0.19825940495771743,0.007676768094875941,0.031168300375383422,0.11504473134944551,0.16939245619436927,0.2070814123666118,0.1726364518909013,0.1990914238727192,0.20229366102563429,0.1477420379974425,0.16465879789321575,0.1608224730904198,0.16968389504245568,0.1582545657228802,0.18673948743458285,0.06930116245176128,0.10331031127345194,0.15459509137949662,0.13598903715667496,0.12632552087215115,0.03717506789873322,0.021911559119854485,0.1820447505475146
T5,0.10508959580974855,0.10364181530782951,0.12037480067053095,0.1790845797785294,0.0,0.1658543232909023,0.1600720554073207,0.2155039502389693,0.1718401089003345,0.15801395630936715,0.108146632393233,0.16512208784590587,0.07639699436945528,0.13634795571755431,0.021080788586834015,0.17078195981718775,0.14145181201230234,0.1472728452389169,0.1493349237764675,0.08122090618264621,0.1574713302441976,0.11566444117079244,0.1538899539519316,0.14376362221729871,0.1094267688435342,0.15937424582902976,0.07458017668282135,6.135030459092988e-05,0.17943092403393762,0.0522017592946794
T6,0.1738011080558172,0.1780123081369699,0.13452222294099103,0.16800446121840082,0.1658543232909023,0.0,0.024146136160902568,0.06092651323735386,0.05296090439497613,0.12348812208361082,0.10385427471583054,0.17798737371764428,0.17585302533066066,0.1684979491500881,0.1555021950032397,0.012153786331080926,0.12051404115352354,0.08843308925943148,0.08127951497611212,0.16392553148479522,0.02867739479770461,0.16918640610123817,0.011159357607289462,0.10954535375325197,0.1455878900348991,0.14458395467995,0.1512931323455652,0.1658417634050203,0.1879674422144384,0.08267834485863498
T7,0.1693854085987399,0.15498679693124334,0.13023620588250495,0.17105840297741765,0.1600720554073207,0.024146136160902568,0.0,0.073521521161968,0.033306691441932254,0.16879594182308488,0.1606514965557962,0.044748640896123376,0.18073645396734128,0.07611557213675609,0.1526110610614489,0.12989162835785145,0.11121562152108135,0.1606133730531032,0.13696855712016426,0.1607400916647165,0.07454512910334643,0.043423001508218095,0.04309729361016396,0.1401257222843758,0.1331035095566919,0.16228421963072054,0.1691997079274446,0.15999331869326966,0.1810918601792083,0.0728481151947233
T8,0.19246377536803655,0.2143654263880304,0.15479754177900673,0.19825940495771743,0.2155039502389693,0.06092651323735386,0.073521521161968,0.0,0.0826422943852223,0.1314194688339992,0.11178562146621893,0.19616393284317457,0.19696748493656596,0.18667450827561832,0.18032700847727318,0.1364740016570929,0.15534489417337558,0.08696123885382391,0.1637812244818212,0.1862801698383647,0.0457206100116834,0.19401435823736546,0.047914831054147254,0.07173744438385118,0.16376444916042937,0.16276051380548026,0.19235182908320694,0.18887620202926514,0.1485828660614083,0.10991027066573783
T9,0.14924229422758822,0.1241718413182162,0.13254352755099355,0.007676768094875941,0.1718401089003345,0.05296090439497613,0.033306691441932254,0.0826422943852223,0.0,0.1700755035802542,0.1598872689537998,0.04813389558151128,0.2063361586613651,0.07985075563359295,0.19340121075414085,0.2082146398426108,0.11084585222496798,0.1395488971575689,0.13098529869457237,0.1592116364607237,0.013260014177822573,0.1868935448918986,0.01625244898531673,0.09412646296956403,0.14130447564903176,0.139214217677538,0.16724287007121297,0.16400972158586355,0.005920715167714849,0.15414686734113964
T10,0.022844827229931735,0.1233998899081851,0.04693122782567788,0.031168300375383422,0.15801395630936715,0.12348812208361082,0.16879594182308488,0.1314194688339992,0.1700755035802542,0.0,0.16313268083848165,0.08169931050246637,0.18460968551670726,0.1809393706997847,0.1621379586668027,0.12460367828209218,0.12341656245908048,0.11140141559191243,0.13306184871885385,0.10482909416360817,0.1443589865814078,0.15370513573184516,0.030529118803389016,0.07482144926219363,0.1351192524694066,0.1367313926638278,0.022016671698186864,0.12673721749785377,0.13671254268640762,0.16309282002377892
