,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0365657043284424,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1736962419172237,-1.0,-1.0,-1.0,-1.0,0.1914209577623657,0.1696812968580258
T2,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1241718413182162,0.1344933735487258,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1118806744205483,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T3,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0724626251106067,-1.0,0.1376993170263049,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1503152295800336,-1.0,0.1597871774078491
T4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.1843974352157746,-1.0,-1.0,0.190341941309634,-1.0,-1.0,0.1990914238727192,-1.0,-1.0,-1.0,-1.0,0.0344024661251355,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1684165064286984,-1.0,0.1904879027548479,-1.0
T5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1501820897511652,-1.0,-1.0,0.0875225828352976,-1.0,-1.0,-1.0,0.1472728452389169,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.148231596132196,-1.0,-1.0,-1.0,-1.0,-1.0
T6,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1753137112328358
T7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.1762384466766544,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1672304817661178,-1.0,-1.0,-1.0,-1.0,-1.0,0.1912711042535941,-1.0
T8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.2273160228491628,0.2376375550796724,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T9,-1.0,0.1241718413182162,-1.0,0.1843974352157746,-1.0,-1.0,-1.0,0.2273160228491628,0.0,0.1102989391160768,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1248312708816807,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1227898495289988,-1.0,-1.0,-1.0,-1.0
T10,-1.0,0.1344933735487258,-1.0,-1.0,-1.0,-1.0,-1.0,0.2376375550796724,0.1102989391160768,0.0,0.1856122032888749,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1972150771224082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
