method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,n_neighbors_requested,n_neighbors_effective,knn_weights,knn_metric,epochs_used,convergence_epoch,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,n_success,n_failed
KNN-impute,30,0.3,0.2988505747126437,1,55,435,130,305,0,130,True,True,True,,missing_p30_rep01_seed55.csv,KNNimpute_completed_p30_rep01_seed55.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0041395950011065,0.031759666077013596,0.025123978155010027,0.8455275589672709,0.7858389435879228,0.0,0.0,5,0
KNN-impute,30,0.3,0.2988505747126437,2,56,435,130,305,0,130,True,True,True,,missing_p30_rep02_seed56.csv,KNNimpute_completed_p30_rep02_seed56.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0036659470006270567,0.035602536662037366,0.024711572647959177,0.7500271293603481,0.7235630692758332,0.0,0.0,5,0
KNN-impute,30,0.3,0.2988505747126437,3,57,435,130,305,0,130,True,True,True,,missing_p30_rep03_seed57.csv,KNNimpute_completed_p30_rep03_seed57.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0036598200003936654,0.032712021035717506,0.022513353444178805,0.769975498307915,0.7855166668942631,0.0,0.0,5,0
KNN-impute,30,0.3,0.2988505747126437,4,58,435,130,305,0,130,True,True,True,,missing_p30_rep04_seed58.csv,KNNimpute_completed_p30_rep04_seed58.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0037003010002081282,0.03046613530580978,0.022808673431110288,0.8181593601626962,0.7907714156959674,0.0,0.0,5,0
KNN-impute,30,0.3,0.2988505747126437,5,59,435,130,305,0,130,True,True,True,,missing_p30_rep05_seed59.csv,KNNimpute_completed_p30_rep05_seed59.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003621518999352702,0.03232580520883364,0.024598705677205446,0.7555137834403856,0.7289598383154214,0.0,0.0,5,0
KNN-impute,50,0.5,0.5011494252873563,1,55,435,218,217,0,218,True,True,True,,missing_p50_rep01_seed55.csv,KNNimpute_completed_p50_rep01_seed55.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0037626050016115187,0.03378709496417668,0.026988967305737004,0.7781193987355854,0.7170887993008503,0.0,0.0,5,0
KNN-impute,50,0.5,0.5011494252873563,2,56,435,218,217,0,218,True,True,True,,missing_p50_rep02_seed56.csv,KNNimpute_completed_p50_rep02_seed56.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0036877120001008734,0.03666324226315976,0.026791210292027072,0.6852356686776108,0.7398030543201968,0.0,0.0,5,0
KNN-impute,50,0.5,0.5011494252873563,3,57,435,218,217,0,218,True,True,True,,missing_p50_rep03_seed57.csv,KNNimpute_completed_p50_rep03_seed57.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003623638000135543,0.0377039783448963,0.025188606319204932,0.6700892395627726,0.7148173737989156,0.0,0.0,5,0
KNN-impute,50,0.5,0.5011494252873563,4,58,435,218,217,0,218,True,True,True,,missing_p50_rep04_seed58.csv,KNNimpute_completed_p50_rep04_seed58.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0036968640015402343,0.03337868689394688,0.026288964085340896,0.792141266971885,0.7906663060493934,0.0,0.0,5,0
KNN-impute,50,0.5,0.5011494252873563,5,59,435,218,217,0,218,True,True,True,,missing_p50_rep05_seed59.csv,KNNimpute_completed_p50_rep05_seed59.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003580602000511135,0.034750655133095124,0.025859332650283694,0.701568077958623,0.717667949097366,0.0,0.0,5,0
KNN-impute,65,0.65,0.6505747126436782,1,55,435,283,152,0,283,True,True,True,,missing_p65_rep01_seed55.csv,KNNimpute_completed_p65_rep01_seed55.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003779330001634662,0.04097492046932844,0.03228539743979472,0.6589295977010953,0.6307928769519605,0.0,0.0,5,0
KNN-impute,65,0.65,0.6505747126436782,2,56,435,283,152,0,283,True,True,True,,missing_p65_rep02_seed56.csv,KNNimpute_completed_p65_rep02_seed56.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0037517620003200136,0.04035015793329822,0.029896563132404914,0.6096408120960997,0.6418944461445766,0.0,0.0,5,0
KNN-impute,65,0.65,0.6505747126436782,3,57,435,283,152,0,283,True,True,True,,missing_p65_rep03_seed57.csv,KNNimpute_completed_p65_rep03_seed57.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0036809949997405056,0.03944647472839506,0.028836926445435153,0.6751220270646873,0.7063654008858806,0.0,0.0,5,0
KNN-impute,65,0.65,0.6505747126436782,4,58,435,283,152,0,283,True,True,True,,missing_p65_rep04_seed58.csv,KNNimpute_completed_p65_rep04_seed58.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.003770256998905097,0.0378542902957624,0.02928414678091819,0.7166540151868278,0.6936760023338285,0.0,0.0,5,0
KNN-impute,65,0.65,0.6505747126436782,5,59,435,283,152,0,283,True,True,True,,missing_p65_rep05_seed59.csv,KNNimpute_completed_p65_rep05_seed59.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0036184999989927746,0.0373132468417139,0.028837116677458925,0.6623457801604161,0.6732137052069578,0.0,0.0,5,0
KNN-impute,85,0.85,0.8505747126436781,1,55,435,370,65,0,370,True,True,True,,missing_p85_rep01_seed55.csv,KNNimpute_completed_p85_rep01_seed55.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.006421546999263228,0.07247217070031055,0.05630587369023355,0.2727930597042742,0.23926982666053076,0.0,0.0,5,0
KNN-impute,85,0.85,0.8505747126436781,2,56,435,370,65,0,370,True,True,True,,missing_p85_rep02_seed56.csv,KNNimpute_completed_p85_rep02_seed56.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.005794186999992235,0.0689380303437195,0.05226828036972585,0.22620571716666327,0.2732367105123663,0.0,0.0,5,0
KNN-impute,85,0.85,0.8505747126436781,3,57,435,370,65,0,370,True,True,True,,missing_p85_rep03_seed57.csv,KNNimpute_completed_p85_rep03_seed57.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.00639311600025394,0.062328110032678505,0.04729922598355759,0.30022469477892394,0.3307005776402923,0.0,0.0,5,0
KNN-impute,85,0.85,0.8505747126436781,4,58,435,370,65,0,370,True,True,True,,missing_p85_rep04_seed58.csv,KNNimpute_completed_p85_rep04_seed58.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.005641593999826,0.06602581068121582,0.05137779110464227,0.25912546625487637,0.29329023981578056,0.0,0.0,5,0
KNN-impute,85,0.85,0.8505747126436781,5,59,435,370,65,0,370,True,True,True,,missing_p85_rep05_seed59.csv,KNNimpute_completed_p85_rep05_seed59.csv,5,5,distance,nan_euclidean,0,0,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""nan_euclidean""}",0.0043699840007320745,0.0606376910782342,0.04538487458412081,0.3246791131329702,0.3249960762155884,0.0,0.0,5,0
