,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,0.17237989376216,0.12179295265501096,0.20699809068129066,0.1602219089160923,0.0973465829530438,0.038428982232581,0.13980296177658352,0.18306704859332568,0.195652022453802,0.1620822836394039,0.10019613782023007,0.1512465464882724,0.1589996384850329,0.2000244788802369,0.0365657043284424,0.1666200454849597,0.11414783754444413,0.025530754509013154,0.1608899451734881,0.1709617115671554,0.15854538337348115,0.12471259570915294,0.14284522931935456,0.1229267593508507,0.05852636168179941,0.15235475295348772,0.1602093490302103,0.12340574977414408,0.1696812968580258
T2,0.17237989376216,0.0,0.1139433171114843,0.1714468387546422,0.15691399564285624,0.08086789419797302,0.1722300402533884,0.2143654263880304,0.1241718413182162,0.0709715113879692,0.12084373686979097,0.09017943592148464,0.19810041076612572,0.1576672420081427,0.0843605988577485,0.1910520570236508,0.08338277948576031,0.07273741961473748,0.1118806744205483,0.1462610399995913,0.10366703675335952,0.1739429484307662,0.08728262224645772,0.040502928808986524,0.1118471237777646,0.1098392530678665,0.08140268030534796,0.09397240602976176,0.1415461040849765,0.17905771297058723
T3,0.12179295265501096,0.1139433171114843,0.0,0.1628851157813558,0.08158125717539821,0.1694505851636835,0.16413939081838375,0.205803703414744,0.1268939135726167,0.10184031308180413,0.1537783516239464,0.1680843681699686,0.1490989644086365,0.10451592529990994,0.09260265527183442,0.1824903340503644,0.1328384532688907,0.0724626251106067,0.0969410335088345,0.1376993170263049,0.05773256941355423,0.13834702387734282,0.050803542077101985,0.1152596652665479,0.023304724897532172,0.0948996121561526,0.08922648919615225,0.1503152295800336,0.05794449812791157,0.11579954931453729
T4,0.20699809068129066,0.1714468387546422,0.1628851157813558,0.0,0.08664710856924818,0.1917081583033489,0.1859258904197674,0.2100284839662433,0.08279780970334258,0.1643821954842965,0.1760359247636119,0.190341941309634,0.15420597430564015,0.11120690974605099,0.1990914238727192,0.2047479071900298,0.06612184748662255,0.1598301715543571,0.1608224730904198,0.10922161733261226,0.08549292409014991,0.1876387985971452,0.1664472802673717,0.16440315874297884,0.1607889224476361,0.16863482021401172,0.1684165064286984,0.1725728027196991,0.17373729741877725,0.06893809951640797
T5,0.1602219089160923,0.15691399564285624,0.08158125717539821,0.08664710856924818,0.0,0.17804749788227636,0.1600720554073207,0.1581471463692841,0.17455928726476355,0.1821616411308441,0.1501820897511652,0.1644881062971873,0.13617706925422995,0.03691900616402946,0.1726755646210263,0.16646473220938612,0.1531296641620018,0.1472728452389169,0.12802539534059815,0.17883218478133533,0.046033708214986584,0.1617849635846986,0.1538899539519316,0.14433610545638678,0.07866547209704138,0.1462237254222978,0.1558591801132583,0.12275462723161593,0.1389957101221707,0.0522017592946794
T6,0.0973465829530438,0.08086789419797302,0.1694505851636835,0.1917081583033489,0.17804749788227636,0.0,0.11364915962066377,0.2346267459367371,0.1909629045981023,0.13529645264431786,0.1677146980142139,0.06856140242054279,0.2003503730519329,0.19461624231967678,0.16069558116879018,0.09524137869954091,0.10601299842203854,0.1148695687047368,0.09345314945322827,0.166522359548298,0.1765941259419654,0.1793175718477472,0.1730127496496994,0.08260221857383641,0.1673543918299639,0.11946241388735789,0.11152646477776582,0.12467336363333936,0.22064610816059388,0.1753137112328358
T7,0.038428982232581,0.1722300402533884,0.16413939081838375,0.1859258904197674,0.1600720554073207,0.11364915962066377,0.0,0.07809177240855736,0.1851806367145207,0.18691915516796803,0.13847765414146057,0.12769519944946972,0.1671585460964558,0.1291228252365687,0.1998746253714653,0.025364750959669294,0.15146002126853933,0.1606133730531032,0.025682850341091277,0.1607400916647165,0.16012728482280644,0.1735353039641656,0.1672304817661178,0.173546388408452,0.1615721239463823,0.05154509171540611,0.1691997079274446,0.1600594955214387,0.1498084978406015,0.17732276960986118
T8,0.13980296177658352,0.2143654263880304,0.205803703414744,0.2100284839662433,0.1581471463692841,0.2346267459367371,0.07809177240855736,0.0,0.20705443346395933,0.2376375550796724,0.15198215316327088,0.19049784812058512,0.25,0.0715402053131044,0.2420100115061073,0.09436253710140756,0.2086055781108302,0.18890454507458504,0.09775863190380571,0.15691013051101402,0.16773704063734327,0.21968204168536404,0.2093658679007599,0.2156817745430941,0.2037075100810244,0.132591835890338,0.2113350940620866,0.14961146974778916,0.2334064903882361,0.2249633381809028
T9,0.18306704859332568,0.1241718413182162,0.1268939135726167,0.08279780970334258,0.17455928726476355,0.1909629045981023,0.1851806367145207,0.20705443346395933,0.0,0.10611711468366064,0.1752906710583652,0.1895966876043874,0.2063361586613651,0.170617838469275,0.1518164264362931,0.2040026534847831,0.03726602040239087,0.08985567869833337,0.1248312708816807,0.03644389034722137,0.1019097817724267,0.17813573530344246,0.08080736104372144,0.1273368540195159,0.124797720238897,0.1227898495289988,0.083996478098491,0.180348896789359,0.1139692310436749,0.15942298449014453
T10,0.195652022453802,0.0709715113879692,0.10184031308180413,0.1643821954842965,0.1821616411308441,0.13529645264431786,0.18691915516796803,0.2376375550796724,0.10611711468366064,0.0,0.1856122032888749,0.19514401530382602,0.2166576908918747,0.1809393706997847,0.025125354927401693,0.17465544444281328,0.0915884943777442,0.1341605015761275,0.1351528031121903,0.12779325780827722,0.1122313140029363,0.1972150771224082,0.0848492598931515,0.1358097217037895,0.1351192524694066,0.1192756720969236,0.09383840500511986,0.1821490812449621,0.16220031431981602,0.18685714194481484
