,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,0.17237989376216,0.1638181707888736,-1.0,0.1602219089160923,0.0739782586922178,0.038428982232581,0.2289943315619272,-1.0,0.195652022453802,0.1620822836394039,-1.0,-1.0,0.1589996384850329,0.2000244788802369,0.0365657043284424,0.1666200454849597,-1.0,-1.0,0.1608899451734881,0.1709617115671554,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1602093490302103,-1.0,0.1696812968580258
T2,0.17237989376216,0.0,0.1139433171114843,0.1714468387546422,-1.0,0.1780123081369699,0.1722300402533884,0.2143654263880304,0.1241718413182162,-1.0,0.1623400745972329,0.176646091143255,-1.0,0.1576672420081427,0.0843605988577485,0.1910520570236508,-1.0,0.1108883728844856,0.1118806744205483,0.1462610399995913,0.1098030626620793,0.1739429484307662,-1.0,-1.0,0.1118471237777646,0.1098392530678665,-1.0,0.1588769525533201,0.1415461040849765,0.1683489003811356
T3,0.1638181707888736,0.1139433171114843,0.0,0.1628851157813558,-1.0,0.1694505851636835,0.1636683172801019,0.205803703414744,0.1268939135726167,-1.0,0.1537783516239464,0.1680843681699686,-1.0,-1.0,-1.0,0.1824903340503644,0.108183468834284,0.0724626251106067,0.0969410335088345,0.1376993170263049,0.1125251349164797,0.1653812254574798,-1.0,0.1152596652665479,-1.0,0.0948996121561526,-1.0,0.1503152295800336,-1.0,-1.0
T4,-1.0,0.1714468387546422,0.1628851157813558,0.0,-1.0,0.1917081583033489,0.1859258904197674,0.2100284839662433,0.1843974352157746,0.1947189674462842,0.1760359247636119,0.190341941309634,-1.0,0.1713630921745217,0.1990914238727192,0.2047479071900298,-1.0,0.1598301715543571,0.1608224730904198,0.0344024661251355,0.1700286565596377,0.1876387985971452,0.1664472802673717,0.1727631869097059,0.1607889224476361,-1.0,0.1684165064286984,0.1725728027196991,-1.0,-1.0
T5,0.1602219089160923,-1.0,-1.0,-1.0,0.0,-1.0,0.1600720554073207,-1.0,0.1718401089003345,0.1821616411308441,0.1501820897511652,0.1644881062971873,-1.0,-1.0,-1.0,0.1788940721775831,0.1531296641620018,0.1472728452389169,-1.0,-1.0,-1.0,0.1617849635846986,0.1538899539519316,0.1602058605942657,-1.0,0.1462237254222978,0.1558591801132583,-1.0,0.1779305764394078,0.0522017592946794
T6,0.0739782586922178,0.1780123081369699,0.1694505851636835,0.1917081583033489,-1.0,0.0,-1.0,0.2346267459367371,0.1909629045981023,-1.0,0.1677146980142139,-1.0,0.2003503730519329,0.1646320528598429,-1.0,-1.0,-1.0,-1.0,-1.0,0.166522359548298,0.1765941259419654,0.1793175718477472,0.1730127496496994,-1.0,0.1673543918299639,0.1653465211200656,-1.0,-1.0,-1.0,0.1753137112328358
T7,0.038428982232581,0.1722300402533884,0.1636683172801019,0.1859258904197674,0.1600720554073207,-1.0,0.0,-1.0,0.1851806367145207,0.1955021689450304,-1.0,0.1762384466766544,-1.0,-1.0,0.1998746253714653,-1.0,-1.0,0.1606133730531032,-1.0,0.1607400916647165,0.1708118580583838,0.1735353039641656,0.1672304817661178,0.173546388408452,0.1615721239463823,-1.0,0.1691997079274446,0.1600594955214387,0.1912711042535941,0.1695314433492542
T8,0.2289943315619272,0.2143654263880304,0.205803703414744,0.2100284839662433,-1.0,0.2346267459367371,-1.0,0.0,0.2273160228491628,0.2376375550796724,-1.0,0.2332605289430222,0.25,-1.0,0.2420100115061073,-1.0,0.2086055781108302,0.2027487591877453,-1.0,0.1848426852111924,-1.0,-1.0,0.2093658679007599,0.2156817745430941,0.2037075100810244,-1.0,0.2113350940620866,0.2154913903530873,0.2334064903882361,0.2249633381809028
T9,-1.0,0.1241718413182162,0.1268939135726167,0.1843974352157746,0.1718401089003345,0.1909629045981023,0.1851806367145207,0.2273160228491628,0.0,-1.0,0.1752906710583652,0.1895966876043874,0.2063361586613651,0.170617838469275,0.1518164264362931,0.2040026534847831,0.0717104381493323,0.1238389693456179,0.1248312708816807,-1.0,0.1019097817724267,0.1868935448918986,-1.0,0.1254881894732798,0.124797720238897,0.1227898495289988,0.083996478098491,0.1718275490144525,0.1544967005461088,-1.0
T10,0.195652022453802,-1.0,-1.0,0.1947189674462842,0.1821616411308441,-1.0,0.1955021689450304,0.2376375550796724,-1.0,0.0,0.1856122032888749,-1.0,0.2166576908918747,0.1809393706997847,-1.0,0.2143241857152928,0.0915884943777442,0.1341605015761275,0.1351528031121903,0.1695331686912333,0.1122313140029363,0.1972150771224082,0.1407776102891422,0.1358097217037895,0.1351192524694066,-1.0,-1.0,0.1821490812449621,0.1648182327766184,0.1916210290727776
T11,0.1620822836394039,0.1623400745972329,0.1537783516239464,0.1760359247636119,0.1501820897511652,0.1677146980142139,-1.0,-1.0,0.1752906710583652,0.1856122032888749,0.0,-1.0,-1.0,-1.0,0.1899846597153098,0.1807544469008947,0.1565802263200326,0.1507234073969477,0.1517157089330105,0.150850126008561,0.1609218924022283,0.0336420882602265,0.1573405161099624,0.1636564227522965,0.1516821582902268,-1.0,-1.0,0.1501695298652832,0.1813811385974386,-1.0
T12,-1.0,0.176646091143255,0.1680843681699686,0.190341941309634,0.1644881062971873,-1.0,0.1762384466766544,0.2332605289430222,0.1895966876043874,-1.0,-1.0,0.0,0.198984156058218,0.163265835866128,0.204290676261332,-1.0,0.1708862428660548,-1.0,0.1660217254790326,0.1651561425545831,0.1752279089482505,0.1721657752804092,0.1716465326559845,-1.0,0.165988174836249,0.1639803041263507,0.1736157588173112,-1.0,0.1956871551434608,0.1739474942391209
T13,-1.0,-1.0,-1.0,-1.0,-1.0,0.2003503730519329,-1.0,0.25,0.2063361586613651,0.2166576908918747,-1.0,0.198984156058218,0.0,0.0508512504317499,-1.0,0.2133901219386138,0.1876257139230325,0.1817688949999476,-1.0,0.1818956136115608,0.1919673800052282,-1.0,-1.0,0.1947019103552964,0.1827276458932267,0.1807197751833285,0.1903552298742889,-1.0,0.2124266262004385,0.1327002909693212
T14,0.1589996384850329,0.1576672420081427,-1.0,0.1713630921745217,-1.0,0.1646320528598429,-1.0,-1.0,0.170617838469275,0.1809393706997847,-1.0,0.163265835866128,0.0508512504317499,0.0,0.1853118271262196,-1.0,0.1519073937309424,0.1460505748078575,-1.0,0.1461772934194708,0.1562490598131381,0.1605626931536392,0.1526676835208721,-1.0,0.1470093257011366,0.1450014549912384,0.1546369096821989,0.091256726482283,0.1767083060083484,0.0969819707772311
T15,0.2000244788802369,0.0843605988577485,-1.0,0.1990914238727192,-1.0,-1.0,0.1998746253714653,0.2420100115061073,0.1518164264362931,-1.0,0.1899846597153098,0.204290676261332,-1.0,0.1853118271262196,0.0,0.2186966421417277,0.1331059816979605,0.1385329580025625,-1.0,0.1739056251176682,-1.0,0.2015875335488431,0.1451500667155771,-1.0,0.1394917088958416,0.1374838381859434,0.1358354976492169,0.186521537671397,0.1691906892030534,0.1959934854992125
T16,0.0365657043284424,0.1910520570236508,0.1824903340503644,0.2047479071900298,0.1788940721775831,-1.0,-1.0,-1.0,0.2040026534847831,0.2143241857152928,0.1807544469008947,-1.0,0.2133901219386138,-1.0,0.2186966421417277,0.0,-1.0,0.1794353898233656,0.1804276913594284,-1.0,0.1896338748286462,0.1923573207344281,0.1860524985363803,0.1923684051787144,0.1803941407166447,0.1783862700067465,0.1880217246977069,0.1788815122917011,0.2100931210238565,0.1883534601195166
T17,0.1666200454849597,-1.0,0.108183468834284,-1.0,0.1531296641620018,-1.0,-1.0,0.2086055781108302,0.0717104381493323,0.0915884943777442,0.1565802263200326,0.1708862428660548,0.1876257139230325,0.1519073937309424,0.1331059816979605,-1.0,0.0,0.1051285246072853,-1.0,-1.0,0.0831993370340941,0.1681831001535659,0.1117456333202999,0.1067777447349472,-1.0,0.1040794047906662,0.0652860333601583,0.1531171042761198,0.1357862558077762,0.1625890521039353
