method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,iters_used,epochs_used,convergence_epoch,final_rank,last_rel_change,last_singular_values_json,lrmc_config_json
LRMC-SoftImpute,30,0.3,0.2988505747126437,1,55,435,130,305,130,True,True,True,,missing_p30_rep01_seed55.csv,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,0.047421548999409424,5505.652287737928,0.1204265442137755,1.356071992053677,2.6280613972623486,2094.9481216356535,0.06362992423130975,0.05532876455806737,0.03916217474006502,0.5468356745063394,0.5463655109314616,0.0,0.0,559,559,559,10,9.873790132591492e-08,"[4.301732756286812, 0.7184327427474341, 0.6344609244959766, 0.506164462804813, 0.4849253077661876, 0.4137624940038838, 0.35650493170395736, 0.3203009259276436, 0.2521107245369757, 0.2124285400056042]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300001}"
LRMC-SoftImpute,30,0.3,0.2988505747126437,2,56,435,130,305,130,True,True,True,,missing_p30_rep02_seed56.csv,LRMC_SoftImpute_completed_p30_rep02_seed56.csv,0.06724878400018497,4417.8352628978355,0.10449200134172859,1.0881367642605506,2.1088041356597236,2094.9481216356535,0.06362992423130975,0.057688001381862794,0.03630500454252776,0.41352905827380043,0.48340684701416103,0.0,0.0,704,704,704,10,9.981399502371956e-08,"[4.403458985803342, 0.8912953092029949, 0.6053683313782589, 0.4838423594553808, 0.4114153504871109, 0.3630190143049775, 0.3225419378302199, 0.2965607340766048, 0.268901107147189, 0.18675784587597538]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300002}"
LRMC-SoftImpute,30,0.3,0.2988505747126437,3,57,435,130,305,130,True,True,True,,missing_p30_rep03_seed57.csv,LRMC_SoftImpute_completed_p30_rep03_seed57.csv,0.0468785779994505,5399.412166910834,0.10983173159479005,1.3299044746085797,2.577348866613071,2094.9481216356535,0.06362992423130975,0.050148628331091696,0.03169413909633809,0.6160934575416558,0.6830381406273471,0.0,0.0,581,581,581,10,9.838828395199697e-08,"[4.408507625536081, 0.7967240988440436, 0.5449499444830208, 0.5106644058123119, 0.44765364162630455, 0.4223696718856302, 0.3977329179959276, 0.3548907703606844, 0.35027054886868214, 0.16131354932059286]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300003}"
LRMC-SoftImpute,30,0.3,0.2988505747126437,4,58,435,130,305,130,True,True,True,,missing_p30_rep04_seed58.csv,LRMC_SoftImpute_completed_p30_rep04_seed58.csv,0.18962736800131097,8794.249243137896,0.11928300160485603,2.1660712421521913,4.197836286404883,2094.9481216356535,0.06362992423130975,0.05523900532520342,0.03815078352119398,0.5485275153045488,0.5575905720411313,0.0,0.0,2169,2169,2169,10,9.998689582317306e-08,"[4.327202162152181, 0.7535664202833419, 0.6180937778356518, 0.5519417282637958, 0.47676334192437186, 0.432840791530422, 0.2951554860413978, 0.2652854153982315, 0.25755114795040546, 0.22455780887227306]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300004}"
LRMC-SoftImpute,30,0.3,0.2988505747126437,5,59,435,130,305,130,True,True,True,,missing_p30_rep05_seed59.csv,LRMC_SoftImpute_completed_p30_rep05_seed59.csv,0.02800319100060733,7113.117101423277,0.125060329376115,1.7519992860648466,3.3953667052478766,2094.9481216356535,0.06362992423130975,0.0715998604889158,0.04738559411437346,0.22200480169178546,0.3186305971677887,0.0,0.0,317,317,317,10,9.774798282847537e-08,"[4.329628964414883, 0.7820719067407699, 0.6408688369840563, 0.5389708012252419, 0.515442947845896, 0.42948629228063157, 0.3763644651056466, 0.36188753863367334, 0.30593476196160807, 0.16850316000676907]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 300005}"
LRMC-SoftImpute,50,0.5,0.5011494252873563,1,55,435,218,217,218,True,True,True,,missing_p50_rep01_seed55.csv,LRMC_SoftImpute_completed_p50_rep01_seed55.csv,0.20336863300144614,7609.323667418196,0.15403286831460716,1.8742176520734473,3.6322253466960004,2094.9481216356535,0.06362992423130975,0.060446252495252484,0.0502744761163253,0.42833467556683796,0.40179270028013475,0.0,0.0,2442,2442,2442,10,9.958988110507344e-08,"[3.965169131318528, 0.7511952014592506, 0.5622712997527357, 0.5328811059154701, 0.4770062981809271, 0.3883576294232134, 0.3212331317253643, 0.2948867633650678, 0.24707319081439627, 0.20880239558543076]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 500001}"
LRMC-SoftImpute,50,0.5,0.5011494252873563,2,56,435,218,217,218,True,True,True,,missing_p50_rep02_seed56.csv,LRMC_SoftImpute_completed_p50_rep02_seed56.csv,0.26046715499978745,8614.514602768764,0.15611349765063914,2.1218016262977253,4.112041970778201,2094.9481216356535,0.06362992423130975,0.06223632171670164,0.04739625898491042,0.41430117538721367,0.43907025608266553,0.0,0.0,3124,3124,3124,10,9.990369765634981e-08,"[4.021972773728366, 0.9491275202000342, 0.6156250815190181, 0.5167654136785402, 0.438732860073145, 0.37361125090324304, 0.29361252874657967, 0.24037199165806658, 0.21893092421525895, 0.17091122667758937]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 500002}"
LRMC-SoftImpute,50,0.5,0.5011494252873563,3,57,435,218,217,218,True,True,True,,missing_p50_rep03_seed57.csv,LRMC_SoftImpute_completed_p50_rep03_seed57.csv,0.5017882590000227,7554.168188465999,0.15494615895320202,1.8606325587354677,3.6058974971504307,2094.9481216356535,0.06362992423130975,0.05690750180210834,0.0444672552407101,0.5016945180408109,0.5302295923538327,0.0,0.0,6000,6000,6000,10,2.3319227155978964e-06,"[4.042896751595981, 0.8047234025715105, 0.6873456044234132, 0.5621221529250467, 0.4246081728563648, 0.38870800048239773, 0.32172315221989833, 0.2861957495656792, 0.21513221281737813, 0.1570406084765362]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 500003}"
LRMC-SoftImpute,50,0.5,0.5011494252873563,4,58,435,218,217,218,True,True,True,,missing_p50_rep04_seed58.csv,LRMC_SoftImpute_completed_p50_rep04_seed58.csv,0.21617337099996803,9830.791052522842,0.15407862723879023,2.4213771065327196,4.692617898741734,2094.9481216356535,0.06362992423130975,0.0588408500417199,0.04603412569111573,0.45141602363063327,0.4441667742920038,0.0,0.0,2586,2586,2586,10,9.992011395533045e-08,"[4.0218804465617435, 0.7003211373883572, 0.6682776847728006, 0.5618417714780248, 0.5040370870203978, 0.408970148304192, 0.3439996393358704, 0.26690361608549046, 0.2214406946007588, 0.14899844378913532]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 500004}"
LRMC-SoftImpute,50,0.5,0.5011494252873563,5,59,435,218,217,218,True,True,True,,missing_p50_rep05_seed59.csv,LRMC_SoftImpute_completed_p50_rep05_seed59.csv,0.5097104599990416,7603.760524539489,0.15227959501170119,1.8728474198373126,3.6295698428096492,2094.9481216356535,0.06362992423130975,0.061566737483367835,0.04929515391056871,0.4078477612603264,0.38358770557645966,0.0,0.0,6000,6000,6000,10,1.1292032441984688e-07,"[4.03028351467016, 0.7741025892931243, 0.6227797393817913, 0.5341202068990203, 0.4977687386761637, 0.36415708889613796, 0.33371127685915214, 0.2791029927443322, 0.21216668280912612, 0.18928755651498427]","{""tau"": 0.02, ""max_iters"": 6000, ""tol"": 1e-07, ""rank"": null, ""svd_backend"": ""numpy_full"", ""enforce_nonneg_final"": true, ""seed_lrmc"": 500005}"
