,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,0.17237989376216,0.1638181707888736,0.1848918002413631,0.1602219089160923,0.0739782586922178,0.038428982232581,0.2289943315619272,0.1837047405254252,0.195652022453802,0.1620822836394039,0.16360355925490874,0.1931039144822751,0.1589996384850329,0.2000244788802369,0.0365657043284424,0.1666200454849597,0.160795915950033,0.16464062686762276,0.1608899451734881,0.1709617115671554,0.1757219790791588,0.16712628712421404,0.17426611746776477,0.1634991055465312,0.16288706529429386,0.16639127878961987,0.1602093490302103,0.1904622692860472,0.1696812968580258
T2,0.17237989376216,0.0,0.1139433171114843,0.1714468387546422,0.15571155671580458,0.1780123081369699,0.1722300402533884,0.2143654263880304,0.1241718413182162,0.14786806779179326,0.1623400745972329,0.176646091143255,0.18621858503451436,0.1576672420081427,0.0843605988577485,0.1910520570236508,0.12486463076482521,0.1108883728844856,0.1118806744205483,0.1462610399995913,0.1098030626620793,0.1739429484307662,0.12561074327883726,0.1502143113549634,0.1118471237777646,0.1098392530678665,0.12987381155439642,0.1588769525533201,0.1415461040849765,0.1683489003811356
T3,0.1638181707888736,0.1139433171114843,0.0,0.1628851157813558,0.15208796173546443,0.1694505851636835,0.1636683172801019,0.205803703414744,0.1268939135726167,0.14141995479455902,0.1537783516239464,0.1680843681699686,0.17738923449057525,0.14613069938534654,0.1440683618479454,0.1824903340503644,0.108183468834284,0.0724626251106067,0.0969410335088345,0.1376993170263049,0.1125251349164797,0.1653812254574798,0.11728062256367378,0.1152596652665479,0.11583700635457066,0.0948996121561526,0.13151936882240617,0.1503152295800336,0.1392844327817562,0.15959628820395594
T4,0.1848918002413631,0.1714468387546422,0.1628851157813558,0.0,0.16568333993742143,0.1917081583033489,0.1859258904197674,0.2100284839662433,0.1843974352157746,0.1947189674462842,0.1760359247636119,0.190341941309634,0.20333160078885548,0.1713630921745217,0.1990914238727192,0.2047479071900298,0.16576301192907006,0.1598301715543571,0.1608224730904198,0.0344024661251355,0.1700286565596377,0.1876387985971452,0.1664472802673717,0.1727631869097059,0.1607889224476361,0.16034829530950778,0.1684165064286984,0.1725728027196991,0.18231191536174932,0.17903518932796703
T5,0.1602219089160923,0.15571155671580458,0.15208796173546443,0.16568333993742143,0.0,0.16014317766643618,0.1600720554073207,0.20357485427125063,0.1718401089003345,0.1821616411308441,0.1501820897511652,0.1644881062971873,0.15481195793666472,0.11777564878547507,0.1761805787101556,0.1788940721775831,0.1531296641620018,0.1472728452389169,0.1490735910363347,0.14138537857625263,0.1547251077911005,0.1617849635846986,0.1538899539519316,0.1602058605942657,0.15213161433764769,0.1462237254222978,0.1558591801132583,0.12173961307957296,0.1779305764394078,0.0522017592946794
T6,0.0739782586922178,0.1780123081369699,0.1694505851636835,0.1917081583033489,0.16014317766643618,0.0,0.08421364597173318,0.2346267459367371,0.1909629045981023,0.18203700526860037,0.1677146980142139,0.16316862425854267,0.2003503730519329,0.1646320528598429,0.1892652565542315,0.08882636560441061,0.1648622544029301,0.16632760905702304,0.16369649245210158,0.166522359548298,0.1765941259419654,0.1793175718477472,0.1730127496496994,0.16434503704760478,0.1673543918299639,0.1653465211200656,0.16386221624142486,0.15832891898843296,0.18879675474987334,0.1753137112328358
T7,0.038428982232581,0.1722300402533884,0.1636683172801019,0.1859258904197674,0.1600720554073207,0.08421364597173318,0.0,0.2197523808914489,0.1851806367145207,0.1955021689450304,0.1592921541945826,0.1762384466766544,0.18732194680624195,0.15531379037782575,0.1998746253714653,0.06113185199133022,0.16709909191922917,0.1606133730531032,0.15888925555840802,0.1607400916647165,0.1708118580583838,0.1735353039641656,0.1672304817661178,0.173546388408452,0.1615721239463823,0.15767744935147,0.1691997079274446,0.1600594955214387,0.1912711042535941,0.1695314433492542
T8,0.2289943315619272,0.2143654263880304,0.205803703414744,0.2100284839662433,0.20357485427125063,0.2346267459367371,0.2197523808914489,0.0,0.2273160228491628,0.2376375550796724,0.1814967800977371,0.2332605289430222,0.25,0.22108387559173917,0.2420100115061073,0.2288379495562296,0.2086055781108302,0.2027487591877453,0.17783886699590215,0.1848426852111924,0.1835227079260493,0.1836965807213721,0.2093658679007599,0.2156817745430941,0.2037075100810244,0.17568586379670026,0.2113350940620866,0.2154913903530873,0.2334064903882361,0.2249633381809028
T9,0.1837047405254252,0.1241718413182162,0.1268939135726167,0.1843974352157746,0.1718401089003345,0.1909629045981023,0.1851806367145207,0.2273160228491628,0.0,0.13507511668037966,0.1752906710583652,0.1895966876043874,0.2063361586613651,0.170617838469275,0.1518164264362931,0.2040026534847831,0.0717104381493323,0.1238389693456179,0.1248312708816807,0.16324270723042753,0.1019097817724267,0.1868935448918986,0.14131370891120812,0.1254881894732798,0.124797720238897,0.1227898495289988,0.083996478098491,0.1718275490144525,0.1544967005461088,0.17376429678910857
T10,0.195652022453802,0.14786806779179326,0.14141995479455902,0.1947189674462842,0.1821616411308441,0.18203700526860037,0.1955021689450304,0.2376375550796724,0.13507511668037966,0.0,0.1856122032888749,0.16527560425425014,0.2166576908918747,0.1809393706997847,0.15347210482150714,0.2143241857152928,0.0915884943777442,0.1341605015761275,0.1351528031121903,0.1695331686912333,0.1122313140029363,0.1972150771224082,0.1407776102891422,0.1358097217037895,0.1351192524694066,0.1341869347496448,0.11940030170937294,0.1821490812449621,0.1648182327766184,0.1916210290727776
T11,0.1620822836394039,0.1623400745972329,0.1537783516239464,0.1760359247636119,0.1501820897511652,0.1677146980142139,0.1592921541945826,0.1814967800977371,0.1752906710583652,0.1856122032888749,0.0,0.16024517485599607,0.1764857569397544,0.14818000094013717,0.1899846597153098,0.1807544469008947,0.1565802263200326,0.1507234073969477,0.1517157089330105,0.150850126008561,0.1609218924022283,0.0336420882602265,0.1573405161099624,0.1636564227522965,0.1516821582902268,0.14868666699204963,0.15547896029024638,0.1501695298652832,0.1813811385974386,0.1626478007712987
T12,0.16360355925490874,0.176646091143255,0.1680843681699686,0.190341941309634,0.1644881062971873,0.16316862425854267,0.1762384466766544,0.2332605289430222,0.1895966876043874,0.16527560425425014,0.16024517485599607,0.0,0.198984156058218,0.163265835866128,0.204290676261332,0.1745089006074271,0.1708862428660548,0.16217644315486499,0.1660217254790326,0.1651561425545831,0.1752279089482505,0.1721657752804092,0.1716465326559845,0.15901228628862157,0.165988174836249,0.1639803041263507,0.1736157588173112,0.15897182747294958,0.1956871551434608,0.1739474942391209
T13,0.1931039144822751,0.18621858503451436,0.17738923449057525,0.20333160078885548,0.15481195793666472,0.2003503730519329,0.18732194680624195,0.25,0.2063361586613651,0.2166576908918747,0.1764857569397544,0.198984156058218,0.0,0.0508512504317499,0.2062489663218529,0.2133901219386138,0.1876257139230325,0.1817688949999476,0.18339000094922603,0.1818956136115608,0.1919673800052282,0.187798051198316,0.18794859758434368,0.1947019103552964,0.1827276458932267,0.1807197751833285,0.1903552298742889,0.1264151415022819,0.2124266262004385,0.1327002909693212
T14,0.1589996384850329,0.1576672420081427,0.14613069938534654,0.1713630921745217,0.11777564878547507,0.1646320528598429,0.15531379037782575,0.22108387559173917,0.170617838469275,0.1809393706997847,0.14818000094013717,0.163265835866128,0.0508512504317499,0.0,0.1853118271262196,0.18019821614188603,0.1519073937309424,0.1460505748078575,0.14673557949724447,0.1461772934194708,0.1562490598131381,0.1605626931536392,0.1526676835208721,0.1586918627296381,0.1470093257011366,0.1450014549912384,0.1546369096821989,0.091256726482283,0.1767083060083484,0.0969819707772311
T15,0.2000244788802369,0.0843605988577485,0.1440683618479454,0.1990914238727192,0.1761805787101556,0.1892652565542315,0.1998746253714653,0.2420100115061073,0.1518164264362931,0.15347210482150714,0.1899846597153098,0.204290676261332,0.2062489663218529,0.1853118271262196,0.0,0.2186966421417277,0.1331059816979605,0.1385329580025625,0.1424301285830873,0.1739056251176682,0.1443355921486407,0.2015875335488431,0.1451500667155771,0.15740405800716722,0.1394917088958416,0.1374838381859434,0.1358354976492169,0.186521537671397,0.1691906892030534,0.1959934854992125
T16,0.0365657043284424,0.1910520570236508,0.1824903340503644,0.2047479071900298,0.1788940721775831,0.08882636560441061,0.06113185199133022,0.2288379495562296,0.2040026534847831,0.2143241857152928,0.1807544469008947,0.1745089006074271,0.2133901219386138,0.18019821614188603,0.2186966421417277,0.0,0.18757317186024072,0.1794353898233656,0.1804276913594284,0.18062763635764434,0.1896338748286462,0.1923573207344281,0.1860524985363803,0.1923684051787144,0.1803941407166447,0.1783862700067465,0.1880217246977069,0.1788815122917011,0.2100931210238565,0.1883534601195166
T17,0.1666200454849597,0.12486463076482521,0.108183468834284,0.16576301192907006,0.1531296641620018,0.1648622544029301,0.16709909191922917,0.2086055781108302,0.0717104381493323,0.0915884943777442,0.1565802263200326,0.1708862428660548,0.1876257139230325,0.1519073937309424,0.1331059816979605,0.18757317186024072,0.0,0.1051285246072853,0.10988772414620615,0.14040885293346383,0.0831993370340941,0.1681831001535659,0.1117456333202999,0.1067777447349472,0.11760620885356618,0.1040794047906662,0.0652860333601583,0.1531171042761198,0.1357862558077762,0.1625890521039353
T18,0.160795915950033,0.1108883728844856,0.0724626251106067,0.1598301715543571,0.1472728452389169,0.16632760905702304,0.1606133730531032,0.2027487591877453,0.1238389693456179,0.1341605015761275,0.1507234073969477,0.16217644315486499,0.1817688949999476,0.1460505748078575,0.1385329580025625,0.1794353898233656,0.1051285246072853,0.0,0.09532332907503815,0.13462947059412078,0.109470190689481,0.162326281230481,0.0760247895966226,0.1122047210395492,0.070366431776887,0.0918446679291538,0.1078580405585417,0.1492570443978758,0.1000654120840988,0.1567322331808504
T19,0.16464062686762276,0.1118806744205483,0.0969410335088345,0.1608224730904198,0.1490735910363347,0.16369649245210158,0.15888925555840802,0.17783886699590215,0.1248312708816807,0.1351528031121903,0.1517157089330105,0.1660217254790326,0.18339000094922603,0.14673557949724447,0.1424301285830873,0.1804276913594284,0.10988772414620615,0.09532332907503815,0.0,0.1356366743353689,0.1104624922255438,0.1633185827665438,0.1005031979948504,0.113197022575612,0.0948448401751148,0.024344416580894,0.1271420149931384,0.1482525868890977,0.1245438204823266,0.1577245347169132
T20,0.1608899451734881,0.1462610399995913,0.1376993170263049,0.0344024661251355,0.14138537857625263,0.166522359548298,0.1607400916647165,0.1848426852111924,0.16324270723042753,0.1695331686912333,0.150850126008561,0.1651561425545831,0.1818956136115608,0.1461772934194708,0.1739056251176682,0.18062763635764434,0.14040885293346383,0.13462947059412078,0.1356366743353689,0.0,0.1448428578045867,0.16346062381206714,0.14409342853960366,0.14896130428076876,0.1356031236925852,0.133595252982687,0.14425009031534883,0.1473870039646481,0.165302103999797,0.1568589517924637
