,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,0.17237989376216,-1.0,-1.0,0.1602219089160923,-1.0,0.038428982232581,-1.0,-1.0,0.195652022453802,-1.0,-1.0,-1.0,0.1589996384850329,-1.0,0.0365657043284424,0.1666200454849597,-1.0,-1.0,0.1608899451734881,0.1709617115671554,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1602093490302103,-1.0,0.1696812968580258
T2,0.17237989376216,0.0,0.1139433171114843,0.1714468387546422,-1.0,-1.0,0.1722300402533884,0.2143654263880304,0.1241718413182162,-1.0,-1.0,-1.0,-1.0,0.1576672420081427,0.0843605988577485,0.1910520570236508,-1.0,-1.0,0.1118806744205483,0.1462610399995913,-1.0,-1.0,-1.0,-1.0,0.1118471237777646,-1.0,-1.0,-1.0,-1.0,-1.0
T3,-1.0,0.1139433171114843,0.0,0.1628851157813558,-1.0,0.1694505851636835,-1.0,0.205803703414744,0.1268939135726167,-1.0,0.1537783516239464,0.1680843681699686,-1.0,-1.0,-1.0,-1.0,-1.0,0.0724626251106067,0.0969410335088345,-1.0,-1.0,-1.0,-1.0,0.1152596652665479,-1.0,0.0948996121561526,-1.0,-1.0,-1.0,-1.0
T4,-1.0,0.1714468387546422,0.1628851157813558,0.0,-1.0,0.1917081583033489,0.1859258904197674,-1.0,-1.0,-1.0,-1.0,0.190341941309634,-1.0,-1.0,0.1990914238727192,0.2047479071900298,-1.0,0.1598301715543571,0.1608224730904198,-1.0,-1.0,0.1876387985971452,-1.0,-1.0,-1.0,-1.0,0.1684165064286984,-1.0,-1.0,-1.0
T5,0.1602219089160923,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.1821616411308441,-1.0,0.1644881062971873,-1.0,-1.0,-1.0,-1.0,0.1531296641620018,-1.0,-1.0,-1.0,-1.0,0.1617849635846986,-1.0,-1.0,-1.0,-1.0,0.1558591801132583,-1.0,-1.0,0.0522017592946794
T6,-1.0,-1.0,0.1694505851636835,0.1917081583033489,-1.0,0.0,-1.0,0.2346267459367371,-1.0,-1.0,0.1677146980142139,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.166522359548298,-1.0,0.1793175718477472,-1.0,-1.0,0.1673543918299639,-1.0,-1.0,-1.0,-1.0,-1.0
T7,0.038428982232581,0.1722300402533884,-1.0,0.1859258904197674,-1.0,-1.0,0.0,-1.0,0.1851806367145207,-1.0,-1.0,-1.0,-1.0,-1.0,0.1998746253714653,-1.0,-1.0,0.1606133730531032,-1.0,-1.0,-1.0,0.1735353039641656,0.1672304817661178,-1.0,0.1615721239463823,-1.0,0.1691997079274446,0.1600594955214387,-1.0,-1.0
T8,-1.0,0.2143654263880304,0.205803703414744,-1.0,-1.0,0.2346267459367371,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,0.2420100115061073,-1.0,0.2086055781108302,-1.0,-1.0,-1.0,-1.0,-1.0,0.2093658679007599,-1.0,-1.0,-1.0,0.2113350940620866,-1.0,-1.0,-1.0
T9,-1.0,0.1241718413182162,0.1268939135726167,-1.0,-1.0,-1.0,0.1851806367145207,-1.0,0.0,-1.0,0.1752906710583652,0.1895966876043874,0.2063361586613651,0.170617838469275,-1.0,0.2040026534847831,-1.0,-1.0,0.1248312708816807,-1.0,0.1019097817724267,-1.0,-1.0,-1.0,0.124797720238897,0.1227898495289988,0.083996478098491,-1.0,-1.0,-1.0
T10,0.195652022453802,-1.0,-1.0,-1.0,0.1821616411308441,-1.0,-1.0,-1.0,-1.0,0.0,0.1856122032888749,-1.0,-1.0,-1.0,-1.0,-1.0,0.0915884943777442,-1.0,0.1351528031121903,-1.0,0.1122313140029363,0.1972150771224082,-1.0,0.1358097217037895,0.1351192524694066,-1.0,-1.0,0.1821490812449621,-1.0,-1.0
T11,-1.0,-1.0,0.1537783516239464,-1.0,-1.0,0.1677146980142139,-1.0,-1.0,0.1752906710583652,0.1856122032888749,0.0,-1.0,-1.0,-1.0,-1.0,0.1807544469008947,0.1565802263200326,0.1507234073969477,-1.0,0.150850126008561,-1.0,0.0336420882602265,-1.0,-1.0,0.1516821582902268,-1.0,-1.0,-1.0,-1.0,-1.0
T12,-1.0,-1.0,0.1680843681699686,0.190341941309634,0.1644881062971873,-1.0,-1.0,-1.0,0.1895966876043874,-1.0,-1.0,0.0,-1.0,0.163265835866128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1639803041263507,0.1736157588173112,-1.0,0.1956871551434608,0.1739474942391209
T13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,0.2063361586613651,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.1817688949999476,-1.0,-1.0,-1.0,-1.0,-1.0,0.1947019103552964,-1.0,-1.0,0.1903552298742889,-1.0,0.2124266262004385,-1.0
T14,0.1589996384850329,0.1576672420081427,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.170617838469275,-1.0,-1.0,0.163265835866128,-1.0,0.0,0.1853118271262196,-1.0,-1.0,-1.0,-1.0,0.1461772934194708,-1.0,-1.0,0.1526676835208721,-1.0,-1.0,-1.0,0.1546369096821989,0.091256726482283,-1.0,0.0969819707772311
T15,-1.0,0.0843605988577485,-1.0,0.1990914238727192,-1.0,-1.0,0.1998746253714653,0.2420100115061073,-1.0,-1.0,-1.0,-1.0,-1.0,0.1853118271262196,0.0,-1.0,0.1331059816979605,-1.0,-1.0,0.1739056251176682,-1.0,-1.0,-1.0,-1.0,0.1394917088958416,0.1374838381859434,0.1358354976492169,-1.0,-1.0,0.1959934854992125
T16,0.0365657043284424,0.1910520570236508,-1.0,0.2047479071900298,-1.0,-1.0,-1.0,-1.0,0.2040026534847831,-1.0,0.1807544469008947,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.1794353898233656,-1.0,-1.0,-1.0,0.1923573207344281,0.1860524985363803,0.1923684051787144,0.1803941407166447,-1.0,-1.0,-1.0,0.2100931210238565,0.1883534601195166
T17,0.1666200454849597,-1.0,-1.0,-1.0,0.1531296641620018,-1.0,-1.0,0.2086055781108302,-1.0,0.0915884943777442,0.1565802263200326,-1.0,-1.0,-1.0,0.1331059816979605,-1.0,0.0,0.1051285246072853,-1.0,-1.0,0.0831993370340941,-1.0,0.1117456333202999,0.1067777447349472,-1.0,0.1040794047906662,0.0652860333601583,0.1531171042761198,-1.0,-1.0
T18,-1.0,-1.0,0.0724626251106067,0.1598301715543571,-1.0,-1.0,0.1606133730531032,-1.0,-1.0,-1.0,0.1507234073969477,-1.0,0.1817688949999476,-1.0,-1.0,0.1794353898233656,0.1051285246072853,0.0,-1.0,-1.0,0.109470190689481,0.162326281230481,-1.0,-1.0,0.070366431776887,-1.0,-1.0,-1.0,0.1000654120840988,0.1567322331808504
T19,-1.0,0.1118806744205483,0.0969410335088345,0.1608224730904198,-1.0,-1.0,-1.0,-1.0,0.1248312708816807,0.1351528031121903,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.1104624922255438,-1.0,-1.0,0.113197022575612,0.0948448401751148,-1.0,-1.0,0.1482525868890977,-1.0,-1.0
