method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,imputed_variables,success,success_numerical,success_valid_matrix,error_message,masked_file,completed_file,embedding_dim,full_dim,max_iter,tol,init_method,optimizer_config_json,runtime_seconds,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,stress_init,stress_final,stress_reduction_percent,best_epoch,epochs_used,convergence_epoch,last_rel_change,n_success,n_failed
MDS-SMACOF,30,0.3,0.2988505747126437,1,55,435,130,305,870,130,True,True,True,,missing_p30_rep01_seed55.csv,MDS_SMACOF_completed_p30_rep01_seed55.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06153440900015994,0.012549184234170011,0.008124845176773964,0.9628097459828747,0.9732510344262518,0.0,0.0,0.10494222607747164,1.2841469304951438e-05,99.9877632962584,1000,1000,1000,0.0005616556113193018,5,0
MDS-SMACOF,30,0.3,0.2988505747126437,2,56,435,130,305,870,130,True,True,True,,missing_p30_rep02_seed56.csv,MDS_SMACOF_completed_p30_rep02_seed56.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.066109190998759,0.024160529719232077,0.01380188172275679,0.8741080188007196,0.9395430771961928,0.0,0.0,0.09666121042235738,3.132602628871586e-06,99.99675919366706,1000,1000,1000,0.0007304032104465694,5,0
MDS-SMACOF,30,0.3,0.2988505747126437,3,57,435,130,305,870,130,True,True,True,,missing_p30_rep03_seed57.csv,MDS_SMACOF_completed_p30_rep03_seed57.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.07213108200085117,0.01804608399382432,0.0108976103838453,0.9218307986105794,0.9620259733165821,0.0,0.0,0.10717212635122791,5.801067214984554e-06,99.994587149278,1000,1000,1000,0.0003662024415427134,5,0
MDS-SMACOF,30,0.3,0.2988505747126437,4,58,435,130,305,870,130,True,True,True,,missing_p30_rep04_seed58.csv,MDS_SMACOF_completed_p30_rep04_seed58.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.0639124190001894,0.019000856793590967,0.010646653263422077,0.8947895757331035,0.9387073427194145,0.0,0.0,0.11271709694867726,1.9574966878042894e-06,99.99826335423748,1000,1000,1000,0.0014572662945456537,5,0
MDS-SMACOF,30,0.3,0.2988505747126437,5,59,435,130,305,870,130,True,True,True,,missing_p30_rep05_seed59.csv,MDS_SMACOF_completed_p30_rep05_seed59.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.07046849299877067,0.022438436589049614,0.012262358320297448,0.8424012004542444,0.9084734190006691,0.0,0.0,0.1010664170648771,6.733381406548998e-07,99.9993337666851,1000,1000,1000,0.002701842397973671,5,0
MDS-SMACOF,50,0.5,0.5011494252873563,1,55,435,218,217,870,218,True,True,True,,missing_p50_rep01_seed55.csv,MDS_SMACOF_completed_p50_rep01_seed55.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06379766200006998,0.02476923019018895,0.015239121745004231,0.8049252349446102,0.8779256475908237,0.0,0.0,0.07394129001922872,2.6060913656511547e-06,99.99647545861727,1000,1000,1000,0.00016042862324333124,5,0
MDS-SMACOF,50,0.5,0.5011494252873563,2,56,435,218,217,870,218,True,True,True,,missing_p50_rep02_seed56.csv,MDS_SMACOF_completed_p50_rep02_seed56.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.0681701850007812,0.030830476666651434,0.019680765921202378,0.7445898280629599,0.841645387737893,0.0,0.0,0.05852925435121175,1.0812020824075351e-09,99.9999981527151,1000,1000,1000,0.006317322607970223,5,0
MDS-SMACOF,50,0.5,0.5011494252873563,3,57,435,218,217,870,218,True,True,True,,missing_p50_rep03_seed57.csv,MDS_SMACOF_completed_p50_rep03_seed57.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06680511900049169,0.024754683049309494,0.015333477899757891,0.8218925137354968,0.875473527352376,0.0,0.0,0.07720086489491329,1.2282320067334028e-09,99.99999840904373,1000,1000,1000,0.009822935330151182,5,0
MDS-SMACOF,50,0.5,0.5011494252873563,4,58,435,218,217,870,218,True,True,True,,missing_p50_rep04_seed58.csv,MDS_SMACOF_completed_p50_rep04_seed58.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06337466700097139,0.02462931477501306,0.014856743863867584,0.8354566356431661,0.9072514766871936,0.0,0.0,0.08859410707933008,1.3846906801574313e-10,99.99999984370397,1000,1000,1000,0.01053572249019401,5,0
MDS-SMACOF,50,0.5,0.5011494252873563,5,59,435,218,217,870,218,True,True,True,,missing_p50_rep05_seed59.csv,MDS_SMACOF_completed_p50_rep05_seed59.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06718817600085458,0.031037607201363223,0.019384944710948017,0.7119184739458717,0.7797226914944324,0.0,0.0,0.07299581879837652,1.4798220622102618e-10,99.99999979727303,1000,1000,1000,0.011258474456228847,5,0
MDS-SMACOF,65,0.65,0.6505747126436782,1,55,435,283,152,870,283,True,True,True,,missing_p65_rep01_seed55.csv,MDS_SMACOF_completed_p65_rep01_seed55.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06434268599878123,0.024746630239341625,0.01693069602138569,0.8080429482066085,0.8671030770745819,0.0,0.0,0.06300543407509147,4.892744391445677e-10,99.99999922344088,1000,1000,1000,0.007215205610214109,5,0
MDS-SMACOF,65,0.65,0.6505747126436782,2,56,435,283,152,870,283,True,True,True,,missing_p65_rep02_seed56.csv,MDS_SMACOF_completed_p65_rep02_seed56.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.03174143499927595,0.034362768185579956,0.023850422307857392,0.6962943216834577,0.7954813309599723,0.0,0.0,0.02829303514116243,1.4879757289984504e-18,100.0,483,483,483,9.580374043916241e-08,5,0
MDS-SMACOF,65,0.65,0.6505747126436782,3,57,435,283,152,870,283,True,True,True,,missing_p65_rep03_seed57.csv,MDS_SMACOF_completed_p65_rep03_seed57.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06594359599876043,0.025440708208309955,0.017102536035699258,0.8137467639352299,0.8452520248927592,0.0,0.0,0.06015609322206914,5.883037422835568e-18,99.99999999999999,1000,1000,1000,1.2930433141462277e-07,5,0
MDS-SMACOF,65,0.65,0.6505747126436782,4,58,435,283,152,870,283,True,True,True,,missing_p65_rep04_seed58.csv,MDS_SMACOF_completed_p65_rep04_seed58.csv,29,True,1000,1e-07,classical_meanfill,"{""FULL_DIM"": true, ""MDS_DIM"": 3, ""MAX_ITER"": 1000, ""TOL"": 1e-07, ""INIT_METHOD"": ""classical_meanfill"", ""RANDOM_INIT_SCALE"": 0.01}",0.06301470800099196,0.025537087361581733,0.01676016846500617,0.8149239634654312,0.8730964843266046,0.0,0.0,0.0605450695339133,3.4706268596138185e-18,99.99999999999999,922,922,922,9.965514174214992e-08,5,0
