,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,0.16708293883112368,0.16303736495809742,0.1727538336216057,0.1618753710250367,0.1802367072560427,0.17110508716451278,0.2289943315619272,0.1723388707628376,0.17696860341781628,0.16388166807673044,0.1763883001854261,0.194717958677123,0.16194070334526514,0.176978420922501,0.19083001330320445,0.1666200454849597,0.16195743093479667,0.1617555280979376,0.1608899451734881,0.16522496603757478,0.1736851574729372,0.16375284542779667,0.16294079775575007,0.16278458615706723,0.1597141067452557,0.164090622269278,0.1602093490302103,0.1914209577623657,0.1677715732279268
T2,0.16708293883112368,0.0,0.11111976793874699,0.1714468387546422,0.15279089817054367,0.1780123081369699,0.1676319224003223,0.20534981420888565,0.11485267489374723,0.1344933735487258,0.16040850331253992,0.16920022535321172,0.1933855622002328,0.1576672420081427,0.0843605988577485,0.1910520570236508,0.1054613965798836,0.11003983391544622,0.10811245718495863,0.1462610399995913,0.1077387701684844,0.1643717495306185,0.11183524840844622,0.11399121543657982,0.1118471237777646,0.1098392530678665,0.10819091253114,0.15407419509005407,0.12289258179115536,0.1642984084637363
T3,0.16303736495809742,0.11111976793874699,0.0,0.16523509498438896,0.1487453242975174,0.1671066605285234,0.1636683172801019,0.20130424033585936,0.11637569987046092,0.13458809293928609,0.1563629294395137,0.1680843681699686,0.1848238392269463,0.14881065661774584,0.12101525003012427,0.1833112746659877,0.108183468834284,0.0925887842497882,0.0969410335088345,0.1428007629378291,0.1092617951451981,0.16032617565759225,0.09438419874278817,0.1152596652665479,0.09341593947205876,0.0948996121561526,0.10812745137690133,0.1500286212170278,0.0675039583487564,0.1597871774078491
T4,0.1727538336216057,0.1714468387546422,0.16523509498438896,0.0,0.16407310105132825,0.1917081583033489,0.16489789267168067,0.2100284839662433,0.17453660078912914,0.1947189674462842,0.16051758797837157,0.1664661956245701,0.2070814123666118,0.1713630921745217,0.17917615094879252,0.18462281881037235,0.1656869904774419,0.1641551609610882,0.16222778423060058,0.1598385850470273,0.1700286565596377,0.17565395241140308,0.1659505754540882,0.1651385277820416,0.16498231618335876,0.158781051737738,0.1684165064286984,0.1725728027196991,0.17700790883679732,0.15878105173773802
T5,0.1618753710250367,0.15279089817054367,0.1487453242975174,0.16407310105132825,0.0,0.1658543232909023,0.16242435459423532,0.20014224640279865,0.1580468301022576,0.1626765627572363,0.15520093550645297,0.16399265754712475,0.1232409030273877,0.10961917578695923,0.16268638026192095,0.182149280732927,0.1531296641620018,0.1472728452389169,0.1482651467749797,0.14334881436015576,0.15093292537699476,0.1617849635846986,0.14946080476721665,0.14864875709517006,0.148231596132196,0.14794238493912376,0.1558591801132583,0.11670975200388042,0.1779305764394078,0.15909084065764934
T6,0.1802367072560427,0.1780123081369699,0.1671066605285234,0.1917081583033489,0.1658543232909023,0.0,0.18078569082524132,0.2346267459367371,0.1764081663332636,0.1810378989882423,0.17356227173745897,0.18235399377813075,0.1835427211084101,0.1646320528598429,0.18104771649292695,0.200510616963933,0.1722524598597697,0.16602672650522265,0.16409934977473506,0.16171015059116176,0.16929426160800076,0.1646320528598429,0.16782214099822265,0.1793286562920336,0.1673543918299639,0.16630372117012976,0.1749819758110261,0.16432809484704938,0.1970533721371757,0.17745217688865533
T7,0.17110508716451278,0.1676319224003223,0.1636683172801019,0.16489789267168067,0.16242435459423532,0.18078569082524132,0.0,0.19240664764337922,0.1728878543320362,0.17751758698701492,0.15886884152127861,0.1562570587877053,0.1945681051683513,0.16248968691446375,0.1998746253714653,0.17441368197350754,0.16319621096667217,0.16250641450399528,0.16057903777350768,0.1607400916647165,0.16577394960677339,0.1735353039641656,0.16430182899699527,0.16348978132494868,0.16333356972626584,0.1595642532364841,0.1691997079274446,0.16370765151374572,0.1912711042535941,0.15991563227800176
T8,0.2289943315619272,0.20534981420888565,0.20130424033585936,0.2100284839662433,0.20014224640279865,0.2346267459367371,0.19240664764337922,0.0,0.2273160228491628,0.2376375550796724,0.19658673332984197,0.1902537263137939,0.22064016958366978,0.2142816798079098,0.2152452963002629,0.18484268521119246,0.20091410277523547,0.2002243063125586,0.203741060723808,0.1848426852111924,0.2034918414153367,0.2305573862305334,0.2020197208055586,0.201207673133512,0.20105146153482917,0.2005013009774657,0.20235749764703992,0.2154913903530873,0.2334064903882361,0.1976335240865651
T9,0.1723388707628376,0.11485267489374723,0.11637569987046092,0.17453660078912914,0.1580468301022576,0.1764081663332636,0.1728878543320362,0.2273160228491628,0.0,0.14388959874402626,0.16566443524425387,0.17445615728492564,0.2063361586613651,0.15811216242248602,0.12474815698512452,0.19261278047072788,0.10366243798578975,0.11529576584716017,0.11336838911667255,0.15210226874256927,0.1019097817724267,0.16962768146233242,0.1304560780586326,0.1254881894732798,0.124797720238897,0.11557276051206725,0.083996478098491,0.15933012702176802,0.1544967005461088,0.16955434039545025
T10,0.17696860341781628,0.1344933735487258,0.13458809293928609,0.1947189674462842,0.1626765627572363,0.1810378989882423,0.17751758698701492,0.2376375550796724,0.14388959874402626,0.0,0.1856122032888749,0.17908588993990432,0.1831744859381074,0.1627418950774647,0.1621379586668027,0.2143241857152928,0.1341979553786622,0.1341605015761275,0.1315807821854977,0.15673200139754795,0.13677569401876344,0.1742574141173111,0.1407776102891422,0.1358097217037895,0.1343353141382559,0.1331113817595084,0.13564135025046667,0.1639598596767467,0.14636090679169445,0.1916210290727776
T11,0.16388166807673044,0.16040850331253992,0.1563629294395137,0.16051758797837157,0.15520093550645297,0.17356227173745897,0.15886884152127861,0.19658673332984197,0.16566443524425387,0.1856122032888749,0.0,0.1605629014468759,0.1846781395121959,0.1489598193201058,0.1899846597153098,0.1807544469008947,0.1565802263200326,0.1507234073969477,0.1517157089330105,0.150966419502152,0.1609218924022283,0.16678178686652778,0.1570784099092129,0.1636564227522965,0.1561101506384835,0.15555999008112,0.1593097422712891,0.15648423242596338,0.16813574329192205,0.1596414776930987
T12,0.1763883001854261,0.16920022535321172,0.1680843681699686,0.1664661956245701,0.16399265754712475,0.18235399377813075,0.1562570587877053,0.1902537263137939,0.17445615728492564,0.17908588993990432,0.1605629014468759,0.0,0.198984156058218,0.16405798986735318,0.204290676261332,0.17226076064392223,0.1708862428660548,0.1640747174568847,0.16214734072639708,0.1597581415428238,0.1752279089482505,0.1721657752804092,0.1658701319498847,0.1650580842778381,0.16490187267915526,0.1639803041263507,0.16620790879136604,0.16527595446663515,0.17692746533259382,0.1614839352308912
