,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1666200454849597,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1602093490302103,-1.0,0.1696812968580258
T2,-1.0,0.0,0.1139433171114843,0.1714468387546422,-1.0,-1.0,0.1722300402533884,0.2143654263880304,0.1241718413182162,-1.0,-1.0,-1.0,-1.0,0.1576672420081427,0.0843605988577485,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1118471237777646,-1.0,-1.0,-1.0,-1.0,-1.0
T3,-1.0,0.1139433171114843,0.0,0.1628851157813558,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0724626251106067,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T4,-1.0,0.1714468387546422,0.1628851157813558,0.0,-1.0,0.1917081583033489,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1598301715543571,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.1821616411308441,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1617849635846986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0522017592946794
T6,-1.0,-1.0,-1.0,0.1917081583033489,-1.0,0.0,-1.0,0.2346267459367371,-1.0,-1.0,0.1677146980142139,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.166522359548298,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T7,-1.0,0.1722300402533884,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1606133730531032,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T8,-1.0,0.2143654263880304,-1.0,-1.0,-1.0,0.2346267459367371,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2420100115061073,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2093658679007599,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T9,-1.0,0.1241718413182162,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.2063361586613651,0.170617838469275,-1.0,0.2040026534847831,-1.0,-1.0,0.1248312708816807,-1.0,0.1019097817724267,-1.0,-1.0,-1.0,-1.0,0.1227898495289988,-1.0,-1.0,-1.0,-1.0
T10,-1.0,-1.0,-1.0,-1.0,0.1821616411308441,-1.0,-1.0,-1.0,-1.0,0.0,0.1856122032888749,-1.0,-1.0,-1.0,-1.0,-1.0,0.0915884943777442,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1358097217037895,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T11,-1.0,-1.0,-1.0,-1.0,-1.0,0.1677146980142139,-1.0,-1.0,-1.0,0.1856122032888749,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1565802263200326,0.1507234073969477,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1516821582902268,-1.0,-1.0,-1.0,-1.0,-1.0
T12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.163265835866128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1736157588173112,-1.0,0.1956871551434608,-1.0
