method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,optimized_variables,success,success_numerical,success_valid_matrix,objective_improved,error_message,masked_file,completed_file,run_log_file,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,Delta_init,Delta_final,Delta_reduction_percent,best_epoch,epochs_used,convergence_epoch,final_learning_rate,stepA_method,stepA_loops,stepA_estimated_pairs,stepA_unfilled_pairs,MW_Qw_final,weighted_fit_pairs,final_tree_edges,n_start_pairs,best_start_pair,n_weighted_lsq_fits,n_graft_evaluations,nnls_backend
MW-proj,30,0.3,0.2988505747126437,1,55,435,130,305,57,True,True,True,True,,missing_p30_rep01_seed55.csv,MWproj_completed_p30_rep01_seed55.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep01_seed55.log,1631.8635223149995,2086.398796323445,0.06338020536705725,0.5138913291437056,0.9959190754062522,2094.9481216356535,0.06362992423130975,0.0011201610874286125,0.0001656858322454702,0.9995854352897722,0.9998470551284326,0.0,0.0,2413.06374279674,2086.398796323445,13.537352564698123,0,0,0,,additive,2,130,0,9.811711851809615e-27,435,57,435,"(0, 1)",365835,341040,scipy.optimize.nnls
MW-proj,30,0.3,0.2988505747126437,2,56,435,130,305,57,True,True,True,False,,missing_p30_rep02_seed56.csv,MWproj_completed_p30_rep02_seed56.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep02_seed56.log,1707.015771141001,6283185070108.754,0.09484825341541027,1547582529.583437,2999207954.2299542,2094.9481216356535,0.06362992423130975,0.045524543353837064,0.030270192765134433,0.6402348644194272,0.7345860246623606,0.0,0.0,1907.0916029259342,6283185070108.754,-329464251143.561,0,0,0,,additive,2,130,0,0.6481038448320975,435,57,435,"(18, 22)",365835,341040,scipy.optimize.nnls
MW-proj,30,0.3,0.2988505747126437,3,57,435,130,305,57,True,True,True,True,,missing_p30_rep03_seed57.csv,MWproj_completed_p30_rep03_seed57.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep03_seed57.log,1737.9795120029994,1971.5928022620951,0.060923822289682766,0.48561399070494954,0.941117721198152,2094.9481216356535,0.06362992423130975,0.0058811801491733375,0.0011266779142998918,0.9903469739184849,0.9992352756421635,0.0,0.0,2284.3630747726183,1971.5928022620951,13.691793391541134,0,0,0,,additive,2,130,0,5.5948973626668736e-27,435,57,435,"(0, 1)",365835,341040,scipy.optimize.nnls
MW-proj,30,0.3,0.2988505747126437,4,58,435,130,305,57,True,True,True,True,,missing_p30_rep04_seed58.csv,MWproj_completed_p30_rep04_seed58.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep04_seed58.log,1511.3660573460002,1737.25717654962,0.059185777202526144,0.42789585629300986,0.8292602373338188,2094.9481216356535,0.06362992423130975,0.010617503447586232,0.001364386859354437,0.962866242608258,0.9939805268404592,0.0,0.0,2029.7843683682786,1737.25717654962,14.411737343992751,0,0,0,,additive,2,130,0,8.260515188379094e-27,435,57,435,"(0, 1)",365835,341040,scipy.optimize.nnls
MW-proj,30,0.3,0.2988505747126437,5,59,435,130,305,57,True,True,True,True,,missing_p30_rep05_seed59.csv,MWproj_completed_p30_rep05_seed59.csv,mw_proj_outputs/logs/MWproj_completed_p30_rep05_seed59.log,1887.4714517149987,1566.15576752158,0.055819052302860564,0.3857526520989113,0.7475868979031265,2094.9481216356535,0.06362992423130975,0.015423791827271984,0.002528502851249381,0.9205261991529322,0.9913968509743407,0.0,0.0,2191.489507503521,1566.15576752158,28.534644489094656,0,0,0,,additive,2,130,0,5.866329262344061e-27,435,57,435,"(0, 1)",365835,341040,scipy.optimize.nnls
MW-proj,50,0.5,0.5011494252873563,1,55,435,218,217,57,True,True,True,False,,missing_p50_rep01_seed55.csv,MWproj_completed_p50_rep01_seed55.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep01_seed55.log,1597.287521727998,1886.148017511729,0.053624789097569604,0.4645684772196377,0.90033161109455,2094.9481216356535,0.06362992423130975,0.01740356461878855,0.010631172327219496,0.9072812823545927,0.9516734243795424,0.0,0.0,1869.8778313895546,1886.148017511729,-0.8701202746536463,0,0,0,,ultrametric,2,218,0,0.03440863383221044,435,57,435,"(7, 11)",365835,341040,scipy.optimize.nnls
MW-proj,50,0.5,0.5011494252873563,2,56,435,218,217,57,True,True,True,True,,missing_p50_rep02_seed56.csv,MWproj_completed_p50_rep02_seed56.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep02_seed56.log,1616.9053785479991,983.0703532303024,0.041388823848550395,0.24213555498283312,0.4692576121945968,2094.9481216356535,0.06362992423130975,0.025227732199664437,0.0129673976032889,0.8018190135557111,0.8754746856519692,0.0,0.0,1373.210463423416,983.0703532303024,28.41080231944153,0,0,0,,ultrametric,2,218,0,0.030427907635837304,435,57,435,"(7, 15)",365835,341040,scipy.optimize.nnls
MW-proj,50,0.5,0.5011494252873563,3,57,435,218,217,57,True,True,True,True,,missing_p50_rep03_seed57.csv,MWproj_completed_p50_rep03_seed57.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep03_seed57.log,1989.0111881209996,1265.0304106806288,0.04727354618538604,0.3115838449952288,0.6038480846451427,2094.9481216356535,0.06362992423130975,0.020018956045261427,0.009749113727260183,0.8580731337958557,0.8835758330056311,0.0,0.0,1720.4602500421922,1265.0304106806288,26.471395625118017,0,0,0,,ultrametric,2,218,0,0.024529724423085777,435,57,435,"(0, 23)",365835,341040,scipy.optimize.nnls
MW-proj,50,0.5,0.5011494252873563,4,58,435,218,217,57,True,True,True,True,,missing_p50_rep04_seed58.csv,MWproj_completed_p50_rep04_seed58.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep04_seed58.log,1731.2452399710019,1303.0321099789003,0.04836693632438993,0.32094386945293113,0.6219877697790167,2094.9481216356535,0.06362992423130975,0.01780119994329172,0.010102616732622199,0.9111741534425016,0.9560216810517823,0.0,0.0,1569.9260045669373,1303.0321099789003,17.000412364126646,0,0,0,,ultrametric,2,218,0,0.03447035770933669,435,57,435,"(2, 29)",365835,341040,scipy.optimize.nnls
MW-proj,50,0.5,0.5011494252873563,5,59,435,218,217,57,True,True,True,True,,missing_p50_rep05_seed59.csv,MWproj_completed_p50_rep05_seed59.csv,mw_proj_outputs/logs/MWproj_completed_p50_rep05_seed59.log,1800.4989895530016,1052.613398380016,0.04222116764832428,0.2592643838374423,0.5024532051696711,2094.9481216356535,0.06362992423130975,0.028382439070494658,0.014161706539999368,0.726715759467151,0.8106411825312204,0.0,0.0,1297.8954483088373,1052.613398380016,18.898444420035897,0,0,0,,ultrametric,2,218,0,0.03193579001660327,435,57,435,"(4, 13)",365835,341040,scipy.optimize.nnls
