,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,0.17872109754076537,0.1638181707888736,0.186075743928539,0.16022190891609234,0.17614626677981338,0.038428982232581,0.23020368993985296,0.1740587564646845,0.195652022453802,0.1617990881260754,0.1763883001854261,0.194717958677123,0.1589996384850329,0.20432382231619223,0.18966148401250776,0.1666200454849597,0.1607632265618749,0.16293346531281167,0.1608899451734881,0.1709617115671554,0.1736851574729372,0.1673803352748895,0.1736962419172237,0.1617219774551539,0.1724609430652369,0.1736489048721715,0.16020934903021028,0.2164965472231573,0.1696812968580258
T2,0.17872109754076537,0.0,0.10150103958075872,0.1714468387546422,0.16795368570584077,0.1780123081369699,0.1722300402533884,0.2143654263880304,0.1241718413182162,0.1344933735487258,0.1623400745972329,0.176646091143255,0.1933855622002328,0.1667314152747813,0.1409076903178108,0.1910520570236508,0.10009621998824123,0.1340624933161012,0.12367541974398769,0.15164665327803825,0.1098030626620793,0.1739429484307662,0.1406796020291158,0.1065462759152903,0.10980084186506162,0.12068462035867164,0.11023277287379006,0.1679411258199587,0.16472022451659207,0.1683489003811356
T3,0.1638181707888736,0.10150103958075872,0.0,0.1628851157813558,0.14250995045239934,0.15560177570429268,0.1531275087785523,0.19589530656086207,0.0968386985046778,0.1372154458031263,0.1440871296623824,0.1680843681699686,0.17700600021343,0.1491055190348562,0.1271037643561856,0.1719495255488147,0.108183468834284,0.036846227148265485,0.0969410335088345,0.12620291802459682,0.1125251349164797,0.1653812254574798,0.0434633358612801,0.1152596652665479,0.0662076346813719,0.059283214193811336,0.1109129847855405,0.14249739056651728,0.06750395834875636,0.1597871774078491
T4,0.186075743928539,0.1714468387546422,0.1628851157813558,0.0,0.1725853626055811,0.18631260021197527,0.1838383332862349,0.22660613106854466,0.1688860125826597,0.1947189674462842,0.1760359247636119,0.190341941309634,0.2070814123666118,0.1719985045290225,0.1990914238727192,0.2047479071900298,0.1466997988127817,0.18066607214064165,0.1608224730904198,0.1569137425322794,0.1700286565596377,0.18715949186294034,0.1664472802673717,0.17486470181380426,0.15640442068960209,0.158781051737738,0.16847616099014673,0.1725728027196991,0.21132380334113254,0.1820447505475146
T5,0.16022190891609234,0.16795368570584077,0.14250995045239934,0.1725853626055811,0.0,0.1658543232909023,0.1600720554073207,0.2155039502389693,0.1718401089003345,0.18918395405483265,0.15103167629115077,0.1644881062971873,0.1232409030273877,0.0875225828352976,0.186534097557279,0.17889407217758313,0.1531296641620018,0.1472728452389169,0.15216605347788703,0.1473995638505302,0.1574713302441976,0.1617849635846986,0.1538899539519316,0.1602058605942657,0.148231596132196,0.16169353123031224,0.1558591801132583,0.09247899691334241,0.20572913538823268,0.0522017592946794
T6,0.17614626677981338,0.1780123081369699,0.15560177570429268,0.18631260021197527,0.1658543232909023,0.0,0.17599641327104174,0.23252810335682167,0.1763831698816532,0.2012844368286119,0.16695603415487184,0.181262050700894,0.19987490470591943,0.1641565845138293,0.2056568932550468,0.19481843004130417,0.1541969561117752,0.1663956409366848,0.16525787872978037,0.166522359548298,0.17587314159496692,0.1793175718477472,0.19478033815264972,0.18236185911279776,0.16390157798859556,0.1653465211200656,0.1749819758110261,0.1658417634050203,0.1970533721371757,0.17483824288682226
T7,0.038428982232581,0.1722300402533884,0.1531275087785523,0.1838383332862349,0.1600720554073207,0.17599641327104174,0.0,0.2300538364310813,0.17390890295591283,0.19980151238098565,0.16164923461730377,0.1762384466766544,0.19456810516835135,0.15884978497626123,0.20417396880742056,0.1895116305037361,0.15172268918603482,0.1606133730531032,0.161605674589166,0.1607400916647165,0.17339887466922654,0.1768433049220068,0.19230607122690935,0.173546388408452,0.16142731106285518,0.1595642532364841,0.1691997079274446,0.16005949552143864,0.1912711042535941,0.1695314433492542
T8,0.23020368993985296,0.2143654263880304,0.19589530656086207,0.22660613106854466,0.2155039502389693,0.23252810335682167,0.2300538364310813,0.0,0.2273160228491628,0.24256931016329542,0.2189545123970001,0.2332605289430222,0.253932327865959,0.2142816798079098,0.24694176658973033,0.24887585320134376,0.1944904869683446,0.2027487591877453,0.203741060723808,0.1848426852111924,0.2129472441930259,0.23337499500778675,0.2093658679007599,0.2156817745430941,0.2037075100810244,0.2016996393711261,0.2113350940620866,0.2154913903530873,0.2334064903882361,0.22889566604686182
T9,0.1740587564646845,0.1241718413182162,0.0968386985046778,0.1688860125826597,0.1718401089003345,0.1763831698816532,0.17390890295591283,0.2273160228491628,0.0,0.14351270210711115,0.1752906710583652,0.17917454038576508,0.2063361586613651,0.170617838469275,0.14788515853354606,0.19273091972617523,0.0717104381493323,0.1238389693456179,0.1248312708816807,0.1592116364607237,0.1019097817724267,0.1868935448918986,0.13601726095303487,0.12359878191318288,0.124797720238897,0.1227898495289988,0.11721024108952535,0.1632787847438778,0.1544967005461088,0.17275073257169332
T10,0.195652022453802,0.1344933735487258,0.1372154458031263,0.1947189674462842,0.18918395405483265,0.2012844368286119,0.19980151238098565,0.24256931016329542,0.14351270210711115,0.0,0.19076113326481575,0.2050671498108379,0.22368000381586334,0.1809393706997847,0.1621379586668027,0.2143241857152928,0.12132648833723314,0.1552927616650931,0.1351528031121903,0.17287692162703017,0.1122313140029363,0.2031226709576911,0.16190987037810772,0.1358097217037895,0.1351192524694066,0.14191488870766356,0.13146304122278196,0.18917139416895062,0.185950492865584,0.19864334199676614
