,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
T1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1709617115671554,0.1736851574729372,-1.0,-1.0,0.1617219774551539,-1.0,-1.0,-1.0,-1.0,0.1696812968580258
T2,-1.0,0.0,-1.0,-1.0,-1.0,0.1780123081369699,-1.0,0.2143654263880304,0.1241718413182162,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1065462759152903,-1.0,-1.0,-1.0,-1.0,-1.0,0.1683489003811356
T3,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1491055190348562,-1.0,-1.0,0.108183468834284,-1.0,-1.0,-1.0,0.1125251349164797,-1.0,0.0434633358612801,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1597871774078491
T4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2070814123666118,-1.0,0.1990914238727192,-1.0,-1.0,-1.0,0.1608224730904198,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1820447505475146
T5,-1.0,-1.0,-1.0,-1.0,0.0,0.1658543232909023,0.1600720554073207,0.2155039502389693,0.1718401089003345,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1472728452389169,-1.0,-1.0,0.1574713302441976,-1.0,0.1538899539519316,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0522017592946794
T6,-1.0,0.1780123081369699,-1.0,-1.0,0.1658543232909023,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1658417634050203,-1.0,-1.0
T7,-1.0,-1.0,-1.0,-1.0,0.1600720554073207,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1606133730531032,-1.0,0.1607400916647165,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1691997079274446,-1.0,-1.0,-1.0
T8,-1.0,0.2143654263880304,-1.0,-1.0,0.2155039502389693,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T9,-1.0,0.1241718413182162,-1.0,-1.0,0.1718401089003345,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.2063361586613651,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1592116364607237,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
T10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.1809393706997847,0.1621379586668027,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1351192524694066,-1.0,-1.0,-1.0,-1.0,-1.0
