method,pct_missing,frac_missing_requested,missingness_actual,replicate,mask_seed,n_pairs_total,n_missing,n_observed,imputed_variables,optimized_variables,success,success_numerical,success_valid_matrix,status,reason,error_message,masked_file,completed_file,run_log_file,s_top,initial_known_graph_components,joins_performed,n_pair_selection_failures,last_active_clusters,tree_edges_final,runtime_seconds,Delta_total_completed,Delta_normalized_completed,Delta_per_triangle_completed,Delta_relative_to_original,Delta_original,Delta_normalized_original,RMSE_miss,MAE_miss,Pearson_miss,Spearman_miss,max_abs_error_observed,mean_abs_error_observed,epochs_used,convergence_epoch,njstar_config_json
NJstar-STRICT,30,0.3,0.2988505747126437,1,55,435,130,305,130,0,True,True,True,OK,OK,,missing_p30_rep01_seed55.csv,NJstar_STRICT_completed_p30_rep01_seed55.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep01_seed55.log,15,1,28,0,2,57,0.07872657900043123,2345.2740617353693,0.06986204563558836,0.5776537097870368,1.1194902811742522,2094.9481216356535,0.06362992423130975,0.020883638645852933,0.013721059933517386,0.8510734300020224,0.8666102227259692,0.0,0.0,28,28,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.2988505747126437,2,56,435,130,305,130,0,True,True,True,OK,OK,,missing_p30_rep02_seed56.csv,NJstar_STRICT_completed_p30_rep02_seed56.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep02_seed56.log,15,1,28,0,2,57,0.07577830300033384,2733.556400480086,0.08382665740921094,0.6732897538128291,1.3048325026520617,2094.9481216356535,0.06362992423130975,0.02829386121411836,0.020728711351942607,0.8521704115830491,0.8469731936800993,0.0,0.0,28,28,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.2988505747126437,3,57,435,130,305,130,0,True,True,True,OK,OK,,missing_p30_rep03_seed57.csv,NJstar_STRICT_completed_p30_rep03_seed57.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep03_seed57.log,15,1,28,0,2,57,0.08153359800053295,2843.352382157793,0.0750484370015821,0.7003330990536436,1.3572423836146428,2094.9481216356535,0.06362992423130975,0.017808469706115913,0.013040042653780315,0.9151637539756712,0.9241557306531566,0.0,0.0,28,28,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.2988505747126437,4,58,435,130,305,130,0,True,True,True,OK,OK,,missing_p30_rep04_seed58.csv,NJstar_STRICT_completed_p30_rep04_seed58.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep04_seed58.log,15,1,28,0,2,57,0.08510600799854728,2276.7244335117193,0.07173048792226125,0.5607695649043644,1.0867688846319221,2094.9481216356535,0.06362992423130975,0.020129937029018843,0.013811261044572037,0.9014013484183037,0.9211951549249614,0.0,0.0,28,28,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,30,0.3,0.2988505747126437,5,59,435,130,305,130,0,True,True,True,OK,OK,,missing_p30_rep05_seed59.csv,NJstar_STRICT_completed_p30_rep05_seed59.csv,njstar_strict_outputs/logs/NJstar_STRICT_p30_rep05_seed59.log,15,1,28,0,2,57,0.07853922000140301,1786.1035912154273,0.061316050283163046,0.43992699291020376,0.8525765257713912,2094.9481216356535,0.06362992423130975,0.019747754016412714,0.008943874328600596,0.8695392903944835,0.9437435988474512,0.0,0.0,28,28,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.5011494252873563,1,55,435,218,217,218,0,True,True,True,OK,OK,,missing_p50_rep01_seed55.csv,NJstar_STRICT_completed_p50_rep01_seed55.csv,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep01_seed55.log,15,1,28,0,2,57,0.06280553500073438,2532.067526877823,0.07416290121274492,0.6236619524329614,1.2086540476720178,2094.9481216356535,0.06362992423130975,0.026038880174862677,0.017978547600887667,0.775987671266076,0.7685647915147604,0.0,0.0,28,28,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.5011494252873563,2,56,435,218,217,218,0,True,True,True,OK,OK,,missing_p50_rep02_seed56.csv,NJstar_STRICT_completed_p50_rep02_seed56.csv,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep02_seed56.log,15,1,28,0,2,57,0.061794719000317855,1963.3807318466754,0.06258473219273815,0.4835913132627279,0.9371977814485184,2094.9481216356535,0.06362992423130975,0.02783450983868815,0.014902786613690858,0.7845816943197219,0.8553388055267106,0.0,0.0,28,28,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.5011494252873563,3,57,435,218,217,218,0,True,True,True,OK,OK,,missing_p50_rep03_seed57.csv,NJstar_STRICT_completed_p50_rep03_seed57.csv,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep03_seed57.log,15,1,28,0,2,57,0.059840802001417615,1412.5499647579902,0.052789852556427985,0.3479187105315247,0.6742648899845436,2094.9481216356535,0.06362992423130975,0.01913269693857661,0.005021827034342169,0.8778056854255555,0.9074599706139393,0.0,0.0,28,28,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.5011494252873563,4,58,435,218,217,218,0,True,True,True,OK,OK,,missing_p50_rep04_seed58.csv,NJstar_STRICT_completed_p50_rep04_seed58.csv,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep04_seed58.log,15,1,28,0,2,57,0.06415186300000641,2137.104052010527,0.0720450910080394,0.5263803083769771,1.0201226607663965,2094.9481216356535,0.06362992423130975,0.018559487012755307,0.011482795821172096,0.9033236854643262,0.9319255746179493,0.0,0.0,28,28,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
NJstar-STRICT,50,0.5,0.5011494252873563,5,59,435,218,217,218,0,False,False,False,FAIL,No eligible pair at r=4: need d_xy known and |S_xy|>=3.,RuntimeError('No eligible pair at r=4: need d_xy known and |S_xy|>=3.'),missing_p50_rep05_seed59.csv,,njstar_strict_outputs/logs/NJstar_STRICT_p50_rep05_seed59.log,15,1,26,1,4,-1,0.05611445300019113,,,,,2094.9481216356535,0.06362992423130975,,,,,,,-1,-1,"{""S_TOP"": 15, ""PRESERVE_OBSERVED"": true}"
