method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:T1,terminal,1,0.05696,0.03954852384824846,-0.017411476151751537,0.017411476151751537
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:T2|T3,internal,2,0.03472,0.025784706779175135,-0.008935293220824866,0.008935293220824866
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:T2,terminal,1,0.02433,0.018463444329367588,-0.005866555670632413,0.005866555670632413
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:T3,terminal,1,0.02231,0.022568704570801748,0.0002587045708017481,0.0002587045708017481
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:T1|T2|T3,internal,3,0.01863,0.026343732478767607,0.007713732478767606,0.007713732478767606
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:T4,terminal,1,0.07771,0.07914024246760899,0.0014302424676089914,0.0014302424676089914
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4,internal,4,0.04682,0.011808976121057146,-0.03501102387894285,0.03501102387894285
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:T5,terminal,1,0.12997,0.09279990024288806,-0.03717009975711194,0.03717009975711194
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4|T5,internal,5,0.03057,0.0,-0.03057,0.03057
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:T6,terminal,1,0.14605,0.0922173749077893,-0.053832625092210706,0.053832625092210706
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4|T5|T6,internal,6,0.0721,0.020663115040672173,-0.05143688495932783,0.05143688495932783
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:T10|T7|T8|T9,internal,4,0.08603,0.013802310392530352,-0.07222768960746964,0.07222768960746964
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:T7|T8|T9,internal,3,0.05128,0.013987262249608579,-0.03729273775039142,0.03729273775039142
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:T7|T8,internal,2,0.02354,0.0025396522954247488,-0.021000347704575248,0.021000347704575248
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:T7,terminal,1,0.11573,0.07198382995970307,-0.04374617004029693,0.04374617004029693
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:T8,terminal,1,0.11535,0.07501786187562497,-0.04033213812437503,0.04033213812437503
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:T9,terminal,1,0.12153,0.07796683646788247,-0.04356316353211753,0.04356316353211753
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:T10,terminal,1,0.18189,0.09792984292340172,-0.08396015707659828,0.08396015707659828
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:T11|T12|T13|T14|T15,internal,5,0.11651,0.02093440863596361,-0.0955755913640364,0.0955755913640364
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:T11|T12,internal,2,0.22637,0.013314146038953652,-0.21305585396104634,0.21305585396104634
