,Homo_sapiens_NC_012920,Pan_troglodytes_NC_001643,Pan_paniscus_NC_001644,Gorilla_gorilla_D38114,Pongo_abelii_NC_002083,Hylobates_lar_NC_002082,Macaca_mulatta_NC_005943,Papio_hamadryas_NC_001992,Chlorocebus_aethiops_NC_007009,Colobus_guereza_NC_006901,Cebus_albifrons_NC_002763,Callithrix_jacchus_KM588314,Tarsius_bancanus_NC_002811,Nycticebus_coucang_NC_002765,Lemur_catta_NC_004025
Homo_sapiens_NC_012920,0.0,0.09167699187855709,0.09066954536569279,0.11368933381033026,0.16001888164789047,0.1819605527362267,0.24910912590124182,0.24626572139966663,0.23946425926021878,0.24818736125728266,0.30057074103010206,0.2911981016911232,0.3262729147488417,0.3327462115787919,0.32226684742774303
Pan_troglodytes_NC_001643,0.09167699187855709,0.0,0.04219726877413468,0.11489987869567317,0.16918693268517646,0.18535013668189212,0.2406171897751087,0.25115017847214854,0.24070815088468456,0.25629905964407507,0.3090748906175408,0.3038693399376908,0.3288888557397483,0.3454382283126209,0.33488669219442957
Pan_paniscus_NC_001644,0.09066954536569279,0.04219726877413468,0.0,0.112686035472675,0.1679743177524718,0.18544195418857956,0.23890500092273098,0.24859279445567917,0.239691799680768,0.25289969815913255,0.30423659321223157,0.3011223641284587,0.3308555330466963,0.34177993808743795,0.33388918405686485
Gorilla_gorilla_D38114,0.11368933381033026,0.11489987869567317,0.112686035472675,0.0,0.1694030338279771,0.18565191597593092,0.24117519366842563,0.25295734845430207,0.24699621909719416,0.2580518716554609,0.3156164932239419,0.30837977085881885,0.3342684762839344,0.34866068166230035,0.3357581052473502
Pongo_abelii_NC_002083,0.16001888164789047,0.16918693268517646,0.1679743177524718,0.1694030338279771,0.0,0.19400460990906984,0.24442135723292685,0.25707032557298526,0.24510795142096825,0.26747141647099815,0.31732209644274767,0.31209254273787934,0.34081089046929836,0.34795921234121596,0.339437577125977
Hylobates_lar_NC_002082,0.1819605527362267,0.18535013668189212,0.18544195418857956,0.18565191597593092,0.19400460990906984,0.0,0.24507529895187918,0.2536568663468802,0.24875341482022043,0.25684886570559196,0.31848636805980546,0.3171070858154312,0.34244690416807066,0.34917349328633146,0.33996572344035436
Macaca_mulatta_NC_005943,0.24910912590124182,0.2406171897751087,0.23890500092273098,0.24117519366842563,0.24442135723292685,0.24507529895187918,0.0,0.1636191116281261,0.17029617136489855,0.2178090804733365,0.3193298377300927,0.31598799007109346,0.34078167234626694,0.3496268009462534,0.3428485258806764
Papio_hamadryas_NC_001992,0.24626572139966663,0.25115017847214854,0.24859279445567917,0.25295734845430207,0.25707032557298526,0.2536568663468802,0.1636191116281261,0.0,0.17447692393689074,0.2177869403928424,0.33074877059415875,0.3256492292618132,0.3513598727848542,0.36751618971605743,0.35163120687318244
Chlorocebus_aethiops_NC_007009,0.23946425926021878,0.24070815088468456,0.239691799680768,0.24699621909719416,0.24510795142096825,0.24875341482022043,0.17029617136489855,0.17447692393689074,0.0,0.216093104673575,0.32492895267567334,0.32260905640197457,0.3457808717785147,0.36085600539896673,0.3476720206763406
Colobus_guereza_NC_006901,0.24818736125728266,0.25629905964407507,0.25289969815913255,0.2580518716554609,0.26747141647099815,0.25684886570559196,0.2178090804733365,0.2177869403928424,0.216093104673575,0.0,0.3274901784503588,0.325191609500674,0.34124180371057955,0.3554653393946664,0.33597065987649816
Cebus_albifrons_NC_002763,0.30057074103010206,0.3090748906175408,0.30423659321223157,0.3156164932239419,0.31732209644274767,0.31848636805980546,0.3193298377300927,0.33074877059415875,0.32492895267567334,0.3274901784503588,0.0,0.1966590378864498,0.3470820080880355,0.36161408419684904,0.33323373397932166
Callithrix_jacchus_KM588314,0.2911981016911232,0.3038693399376908,0.3011223641284587,0.30837977085881885,0.31209254273787934,0.3171070858154312,0.31598799007109346,0.3256492292618132,0.32260905640197457,0.325191609500674,0.1966590378864498,0.0,0.34075513397235024,0.3501296596038865,0.3352885523729698
Tarsius_bancanus_NC_002811,0.3262729147488417,0.3288888557397483,0.3308555330466963,0.3342684762839344,0.34081089046929836,0.34244690416807066,0.34078167234626694,0.3513598727848542,0.3457808717785147,0.34124180371057955,0.3470820080880355,0.34075513397235024,0.0,0.30887114061101045,0.289285563612702
Nycticebus_coucang_NC_002765,0.3327462115787919,0.3454382283126209,0.34177993808743795,0.34866068166230035,0.34795921234121596,0.34917349328633146,0.3496268009462534,0.36751618971605743,0.36085600539896673,0.3554653393946664,0.36161408419684904,0.3501296596038865,0.30887114061101045,0.0,0.2832004048858505
Lemur_catta_NC_004025,0.32226684742774303,0.33488669219442957,0.33388918405686485,0.3357581052473502,0.339437577125977,0.33996572344035436,0.3428485258806764,0.35163120687318244,0.3476720206763406,0.33597065987649816,0.33323373397932166,0.3352885523729698,0.289285563612702,0.2832004048858505,0.0
