method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:Allenopithecus_nigroviridis_KJ434962,terminal,1,0.1474140195,0.06950272772439901,-0.07791129177560098,0.07791129177560098
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,3,0.1544494817,0.02842456077315034,-0.12602492092684967,0.12602492092684967
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959,internal,2,0.0094381611,0.0,-0.0094381611,0.0094381611
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:Cercocebus_atys_KT159932,terminal,1,0.0508580169,0.05271121562688758,0.0018531987268875852,0.0018531987268875852
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:Cercocebus_torquatus_KJ434959,terminal,1,0.0562685839,0.0600015400071101,0.003732956107110101,0.003732956107110101
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,terminal:Cercocebus_chrysogaster_KC757390,terminal,1,0.0511259412,0.05038133141554412,-0.0007446097844558755,0.0007446097844558755
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,4,0.0346917556,0.005497848473454961,-0.029193907126545036,0.029193907126545036
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190|Chlorocebus_djamdjamensis_C5_KU682695,internal,6,0.0834758403,0.030909026763269315,-0.05256681353673069,0.05256681353673069
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190,internal,5,0.012780756,0.004154738206968431,-0.00862601779303157,0.00862601779303157
MDS-SMACOF,30,1,55,MDS_SMACOF_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,3,0.0048654608,0.004804925628692199,-6.053517130780086e-05,6.053517130780086e-05
