,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0,441,456,449,344,353,351,334,339,337,337,352,331,340,355
T2,441,0,97,78,434,448,425,429,444,415,430,440,421,436,436
T3,456,97,0,93,453,464,456,443,463,435,450,459,441,448,458
T4,449,78,93,0,452,461,441,440,459,432,449,456,442,452,455
T5,344,434,453,452,0,273,276,251,261,254,31,22,44,47,70
T6,353,448,464,461,273,0,279,217,81,256,263,273,265,273,279
T7,351,425,456,441,276,279,0,244,268,196,269,276,258,268,271
T8,334,429,443,440,251,217,244,0,207,225,245,259,242,252,257
T9,339,444,463,459,261,81,268,207,0,248,251,262,251,259,260
T10,337,415,435,432,254,256,196,225,248,0,246,256,233,250,255
T11,337,430,450,449,31,263,269,245,251,246,0,13,42,46,65
T12,352,440,459,456,22,273,276,259,262,256,13,0,44,38,56
T13,331,421,441,442,44,265,258,242,251,233,42,44,0,45,61
T14,340,436,448,452,47,273,268,252,259,250,46,38,45,0,73
T15,355,436,458,455,70,279,271,257,260,255,65,56,61,73,0
