edge_id,edge_type,edge_descendant_count,branch_length_ref_ML
terminal:Allenopithecus_nigroviridis_KJ434962,terminal,1,0.1474140195
internal:Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,3,0.1544494817
internal:Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959,internal,2,0.0094381611
terminal:Cercocebus_atys_KT159932,terminal,1,0.0508580169
terminal:Cercocebus_torquatus_KJ434959,terminal,1,0.0562685839
terminal:Cercocebus_chrysogaster_KC757390,terminal,1,0.0511259412
internal:Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,4,0.0346917556
internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190|Chlorocebus_djamdjamensis_C5_KU682695,internal,6,0.0834758403
internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190,internal,5,0.012780756
internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,3,0.0048654608
terminal:Cercopithecus_aethiops_AY863426,terminal,1,0.0221835236
internal:Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,2,0.0120854426
terminal:Chlorocebus_aethiops_C1_KU682691,terminal,1,0.0080961876
terminal:Chlorocebus_aethiops_MN816163,terminal,1,0.0104642592
internal:Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190,internal,2,0.0017398823
terminal:Chlorocebus_cynosuros_C3_KU682693,terminal,1,0.0241962287
terminal:Chlorocebus_cynosuros_KM262190,terminal,1,0.0250691331
terminal:Chlorocebus_djamdjamensis_C5_KU682695,terminal,1,0.0319881948
internal:Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,internal,5,0.0020104988
internal:Cercopithecus_albogularis_KC757391|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956,internal,3,0.0167387771
internal:Cercopithecus_albogularis_KC757391|Cercopithecus_mitis_KJ434956,internal,2,0.0593605632
terminal:Cercopithecus_albogularis_KC757391,terminal,1,0.0366651729
terminal:Cercopithecus_mitis_KJ434956,terminal,1,0.0331901409
terminal:Cercopithecus_lhoesti_KJ434957,terminal,1,0.096446469
internal:Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,internal,2,0.0175917107
terminal:Cercopithecus_diana_KJ434958,terminal,1,0.1093319625
terminal:Cercopithecus_neglectus_MW160353,terminal,1,0.1017112524
