method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T1,terminal,1,0.05696,0.037197701581301965,-0.019762298418698032,0.019762298418698032
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:T2|T3,internal,2,0.03472,0.028135529046121602,-0.006584470953878398,0.006584470953878398
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T2,terminal,1,0.02433,0.020023032009623108,-0.004306967990376893,0.004306967990376893
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T3,terminal,1,0.02231,0.021009116890546138,-0.0013008831094538618,0.0013008831094538618
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:T1|T2|T3,internal,3,0.01863,0.02119113581723956,0.00256113581723956,0.00256113581723956
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T4,terminal,1,0.07771,0.07015762724545943,-0.0075523727545405706,0.0075523727545405706
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4,internal,4,0.04682,0.006255461438744667,-0.04056453856125533,0.04056453856125533
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T5,terminal,1,0.12997,0.07544009935122341,-0.054529900648776594,0.054529900648776594
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4|T5,internal,5,0.03057,0.0041627542290999945,-0.026407245770900006,0.026407245770900006
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T6,terminal,1,0.14605,0.08582655509814689,-0.06022344490185312,0.06022344490185312
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4|T5|T6,internal,6,0.0721,0.023957663452975994,-0.048142336547024,0.048142336547024
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:T10|T7|T8|T9,internal,4,0.08603,0.01662628776075847,-0.06940371223924152,0.06940371223924152
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:T7|T8|T9,internal,3,0.05128,0.01371398906300039,-0.03756601093699961,0.03756601093699961
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:T7|T8,internal,2,0.02354,0.00505649602930475,-0.018483503970695248,0.018483503970695248
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T7,terminal,1,0.11573,0.07110912219299977,-0.044620877807000234,0.044620877807000234
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T8,terminal,1,0.11535,0.07589256964232821,-0.03945743035767178,0.03945743035767178
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T9,terminal,1,0.12153,0.07544999273400248,-0.04608000726599752,0.04608000726599752
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T10,terminal,1,0.18189,0.09736416819871657,-0.08452583180128342,0.08452583180128342
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:T11|T12|T13|T14|T15,internal,5,0.11651,0.022990806874623144,-0.09351919312537686,0.09351919312537686
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:T11|T12,internal,2,0.22637,0.0,-0.22637,0.22637
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T11,terminal,1,0.16094,0.13255105090719554,-0.028388949092804455,0.028388949092804455
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:T12,terminal,1,0.14942,0.12599308192614467,-0.02342691807385533,0.02342691807385533
