method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:Allenopithecus_nigroviridis_KJ434962,terminal,1,0.1474140195,0.07004755527791133,-0.07736646422208866,0.07736646422208866
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,3,0.1544494817,0.014686319143946398,-0.13976316255605362,0.13976316255605362
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959,internal,2,0.0094381611,0.0,-0.0094381611,0.0094381611
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:Cercocebus_atys_KT159932,terminal,1,0.0508580169,0.06481324913769679,0.01395523223769679,0.01395523223769679
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:Cercocebus_torquatus_KJ434959,terminal,1,0.0562685839,0.07284796989171842,0.016579385991718418,0.016579385991718418
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,terminal:Cercocebus_chrysogaster_KC757390,terminal,1,0.0511259412,0.0650131102472016,0.013887169047201608,0.013887169047201608
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,4,0.0346917556,0.009906195182120141,-0.024785560417879857,0.024785560417879857
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190|Chlorocebus_djamdjamensis_C5_KU682695,internal,6,0.0834758403,0.03530169976550275,-0.048174140534497256,0.048174140534497256
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190,internal,5,0.012780756,0.004935827399775954,-0.007844928600224047,0.007844928600224047
NJstar-STRICT,30,1,55,NJstar_STRICT_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,3,0.0048654608,0.0029547510217355086,-0.001910709778264491,0.001910709778264491
