,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0,2475,2524,2515,2261,2339,2363,2264,2319,2342,2259,2306,2261,2245,2341
T2,2475,0,1235,1218,2496,2515,2507,2488,2560,2478,2469,2494,2461,2474,2524
T3,2524,1235,0,1300,2515,2513,2540,2473,2518,2551,2471,2496,2469,2464,2521
T4,2515,1218,1300,0,2502,2552,2548,2519,2565,2535,2488,2503,2459,2462,2539
T5,2261,2496,2515,2502,0,1975,2030,1961,1974,2043,567,585,658,655,853
T6,2339,2515,2513,2552,1975,0,2051,1839,885,2024,1933,1987,1939,1924,2013
T7,2363,2507,2540,2548,2030,2051,0,2076,2028,1972,1999,2046,2005,2005,2039
T8,2264,2488,2473,2519,1961,1839,2076,0,1830,1996,1924,1964,1932,1947,1969
T9,2319,2560,2518,2565,1974,885,2028,1830,0,2012,1923,1962,1894,1922,1975
T10,2342,2478,2551,2535,2043,2024,1972,1996,2012,0,2029,2061,2008,2030,2058
T11,2259,2469,2471,2488,567,1933,1999,1924,1923,2029,0,265,623,625,850
T12,2306,2494,2496,2503,585,1987,2046,1964,1962,2061,265,0,632,661,876
T13,2261,2461,2469,2459,658,1939,2005,1932,1894,2008,623,632,0,626,827
T14,2245,2474,2464,2462,655,1924,2005,1947,1922,2030,625,661,626,0,862
T15,2341,2524,2521,2539,853,2013,2039,1969,1975,2058,850,876,827,862,0
