,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0,114,114,203,498,659,1155,1111,1055,1116,1648,1709,1988,2075,1925
T2,114,0,63,245,548,708,1081,1199,1121,1227,1790,1834,2112,2220,2089
T3,114,63,0,244,551,706,1075,1194,1118,1223,1772,1836,2119,2215,2094
T4,203,245,244,0,540,697,1067,1168,1113,1197,1763,1807,2069,2183,2063
T5,498,548,551,540,0,771,1107,1214,1163,1270,1842,1862,2124,2213,2101
T6,659,708,706,697,771,0,1087,1193,1138,1239,1809,1831,2116,2207,2088
T7,1155,1081,1075,1067,1107,1087,0,340,392,753,1741,1790,2058,2123,2020
T8,1111,1199,1194,1168,1214,1193,340,0,455,843,1888,1950,2190,2264,2164
T9,1055,1121,1118,1113,1163,1138,392,455,0,803,1849,1901,2125,2212,2121
T10,1116,1227,1223,1197,1270,1239,753,843,803,0,1948,1969,2200,2262,2156
T11,1648,1790,1772,1763,1842,1809,1741,1888,1849,1948,0,893,2278,2326,2191
T12,1709,1834,1836,1807,1862,1831,1790,1950,1901,1969,893,0,2231,2292,2205
T13,1988,2112,2119,2069,2124,2116,2058,2190,2125,2200,2278,2231,0,2047,1889
T14,2075,2220,2215,2183,2213,2207,2123,2264,2212,2262,2326,2292,2047,0,1794
T15,1925,2089,2094,2063,2101,2088,2020,2164,2121,2156,2191,2205,1889,1794,0
