,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.1743713280073863,0.1778446338263918,0.17701772577777758,0.15832597063364534,0.16318401653337974,0.1654153742993501,0.15710022286383263,0.16166055485933167,0.16381405732323892,0.1580807711308453,0.1610725856079185,0.1591086878935904,0.15748209975628386,0.16413805569795709
T2,0.1743713280073863,0.0,0.08079914551567942,0.07961066955319754,0.17765139680926656,0.1775956002411458,0.1774048370479524,0.1755961374746332,0.18150423233340982,0.17506848218611729,0.1752844953583837,0.17659589079424906,0.1756282256892768,0.1762165199351768,0.17929732969328988
T3,0.1778446338263918,0.08079914551567942,0.0,0.08515182961024617,0.17860214953795914,0.17666367736863414,0.17909300766131975,0.17357924417749018,0.17714390454974627,0.18040530383899353,0.17477977572451173,0.17608550121003572,0.17562773365280082,0.17482052088239577,0.17834559075966852
T4,0.17701772577777758,0.07961066955319754,0.08515182961024617,0.0,0.17734300849860757,0.1798901970918195,0.1800504580641105,0.1773814188185595,0.18107488040412253,0.17902899429443453,0.17603672401777493,0.17652896875525262,0.17461920846813256,0.17444977071628526,0.17974810099309504
T5,0.15832597063364534,0.17765139680926656,0.17860214953795914,0.17734300849860757,0.0,0.13574617698387823,0.14020270858151235,0.1348712166038611,0.13578020177997113,0.1414702345632743,0.035817972412131555,0.037024841829588095,0.04205619337758817,0.041720947792547834,0.054804145587059594
T6,0.16318401653337974,0.1775956002411458,0.17666367736863414,0.1798901970918195,0.13574617698387823,0.0,0.140618775730898,0.12444766469971094,0.05645458010369186,0.1386547415082942,0.1324125970021468,0.13613720514770614,0.1336223458749722,0.13211499391982628,0.1381089491590302
T7,0.1654153742993501,0.1774048370479524,0.17909300766131975,0.1800504580641105,0.14020270858151235,0.140618775730898,0.0,0.1429712623261853,0.1389019026779686,0.13514467982801698,0.13766394033353496,0.14091869126719964,0.1390474373776509,0.138637169180448,0.14038433764684
T8,0.15710022286383263,0.1755961374746332,0.17357924417749018,0.1773814188185595,0.1348712166038611,0.12444766469971094,0.1429712623261853,0.0,0.12382115843638032,0.13679569019427984,0.13189082116342837,0.1343849840135071,0.1331934390104239,0.13414105428221162,0.13488548616219007
T9,0.16166055485933167,0.18150423233340982,0.17714390454974627,0.18107488040412253,0.13578020177997113,0.05645458010369186,0.1389019026779686,0.12382115843638032,0.0,0.13782158816844814,0.1317393702715853,0.13427893879595093,0.13022675987027388,0.1320823293611252,0.13531459442700755
T10,0.16381405732323892,0.17506848218611729,0.18040530383899353,0.17902899429443453,0.1414702345632743,0.1386547415082942,0.13514467982801698,0.13679569019427984,0.13782158816844814,0.0,0.1402824866822562,0.14228815370353437,0.13953357183204598,0.14082848771293227,0.14201791095586763
T11,0.1580807711308453,0.1752844953583837,0.17477977572451173,0.17603672401777493,0.035817972412131555,0.1324125970021468,0.13766394033353496,0.13189082116342837,0.1317393702715853,0.1402824866822562,0.0,0.01642689070571434,0.03971497365201756,0.03970430416018592,0.05459160983236905
T12,0.1610725856079185,0.17659589079424906,0.17608550121003572,0.17652896875525262,0.037024841829588095,0.13613720514770614,0.14091869126719964,0.1343849840135071,0.13427893879595093,0.14228815370353437,0.01642689070571434,0.0,0.040225589672774856,0.0421228253758309,0.05636294850982069
T13,0.1591086878935904,0.1756282256892768,0.17562773365280082,0.17461920846813256,0.04205619337758817,0.1336223458749722,0.1390474373776509,0.1331934390104239,0.13022675987027388,0.13953357183204598,0.03971497365201756,0.040225589672774856,0.0,0.03994535400381083,0.05338851607455344
T14,0.15748209975628386,0.1762165199351768,0.17482052088239577,0.17444977071628526,0.041720947792547834,0.13211499391982628,0.138637169180448,0.13414105428221162,0.1320823293611252,0.14082848771293227,0.03970430416018592,0.0421228253758309,0.03994535400381083,0.0,0.05555253600720667
T15,0.16413805569795709,0.17929732969328988,0.17834559075966852,0.17974810099309504,0.054804145587059594,0.1381089491590302,0.14038433764684,0.13488548616219007,0.13531459442700755,0.14201791095586763,0.05459160983236905,0.05636294850982069,0.05338851607455344,0.05555253600720667,0.0
