,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0,1379,1365,1675,2302,2578,3487,3348,3256,3373,3939,3839,4182,4238,4143
T2,1379,0,679,1742,2487,2699,3280,3507,3356,3581,4137,4082,4328,4483,4409
T3,1365,679,0,1711,2472,2701,3261,3479,3345,3543,4085,4054,4351,4448,4401
T4,1675,1742,1711,0,2473,2681,3265,3490,3401,3562,4167,4087,4337,4481,4371
T5,2302,2487,2472,2473,0,2798,3327,3560,3397,3695,4212,4154,4429,4487,4434
T6,2578,2699,2701,2681,2798,0,3327,3522,3443,3572,4227,4211,4451,4518,4440
T7,3487,3280,3261,3265,3327,3327,0,2346,2422,3020,4133,4099,4326,4403,4350
T8,3348,3507,3479,3490,3560,3522,2346,0,2543,3115,4367,4318,4550,4696,4571
T9,3256,3356,3345,3401,3397,3443,2422,2543,0,3068,4284,4259,4466,4612,4498
T10,3373,3581,3543,3562,3695,3572,3020,3115,3068,0,4338,4315,4457,4591,4426
T11,3939,4137,4085,4167,4212,4227,4133,4367,4284,4338,0,2841,4502,4627,4371
T12,3839,4082,4054,4087,4154,4211,4099,4318,4259,4315,2841,0,4435,4514,4394
T13,4182,4328,4351,4337,4429,4451,4326,4550,4466,4457,4502,4435,0,4191,4013
T14,4238,4483,4448,4481,4487,4518,4403,4696,4612,4591,4627,4514,4191,0,3915
T15,4143,4409,4401,4371,4434,4440,4350,4571,4498,4426,4371,4394,4013,3915,0
