,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0,1265,1251,1472,1804,1919,2332,2237,2201,2257,2291,2130,2194,2163,2218
T2,1265,0,616,1497,1939,1991,2199,2308,2235,2354,2347,2248,2216,2263,2320
T3,1251,616,0,1467,1921,1995,2186,2285,2227,2320,2313,2218,2232,2233,2307
T4,1472,1497,1467,0,1933,1984,2198,2322,2288,2365,2404,2280,2268,2298,2308
T5,1804,1939,1921,1933,0,2027,2220,2346,2234,2425,2370,2292,2305,2274,2333
T6,1919,1991,1995,1984,2027,0,2240,2329,2305,2333,2418,2380,2335,2311,2352
T7,2332,2199,2186,2198,2220,2240,0,2006,2030,2267,2392,2309,2268,2280,2330
T8,2237,2308,2285,2322,2346,2329,2006,0,2088,2272,2479,2368,2360,2432,2407
T9,2201,2235,2227,2288,2234,2305,2030,2088,0,2265,2435,2358,2341,2400,2377
T10,2257,2354,2320,2365,2425,2333,2267,2272,2265,0,2390,2346,2257,2329,2270
T11,2291,2347,2313,2404,2370,2418,2392,2479,2435,2390,0,1948,2224,2301,2180
T12,2130,2248,2218,2280,2292,2380,2309,2368,2358,2346,1948,0,2204,2222,2189
T13,2194,2216,2232,2268,2305,2335,2268,2360,2341,2257,2224,2204,0,2144,2124
T14,2163,2263,2233,2298,2274,2311,2280,2432,2400,2329,2301,2222,2144,0,2121
T15,2218,2320,2307,2308,2333,2352,2330,2407,2377,2270,2180,2189,2124,2121,0
