method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T1,terminal,1,0.05696,0.036521916139033155,-0.020438083860966842,0.020438083860966842
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T2|T3,internal,2,0.03472,0.019590266805568402,-0.015129733194431599,0.015129733194431599
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T2,terminal,1,0.02433,0.02139925131473221,-0.002930748685267791,0.002930748685267791
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T3,terminal,1,0.02231,0.01963289758543697,-0.0026771024145630304,0.0026771024145630304
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T1|T2|T3,internal,3,0.01863,0.0,-0.01863,0.01863
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T4,terminal,1,0.07771,0.043225698098234164,-0.03448430190176584,0.03448430190176584
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4,internal,4,0.04682,0.021599006749208755,-0.025220993250791246,0.025220993250791246
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T5,terminal,1,0.12997,0.057949024596338494,-0.07202097540366151,0.07202097540366151
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4|T5,internal,5,0.03057,0.01283101562455377,-0.01773898437544623,0.01773898437544623
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T6,terminal,1,0.14605,0.07371782343081038,-0.07233217656918964,0.07233217656918964
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4|T5|T6,internal,6,0.0721,0.024876208331483306,-0.04722379166851669,0.04722379166851669
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T10|T7|T8|T9,internal,4,0.08603,0.0006942955918062806,-0.08533570440819371,0.08533570440819371
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T7|T8|T9,internal,3,0.05128,0.02137427226640996,-0.02990572773359004,0.02990572773359004
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T7|T8,internal,2,0.02354,0.0010030574053777714,-0.022536942594622227,0.022536942594622227
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T7,terminal,1,0.11573,0.07464288131948205,-0.04108711868051795,0.04108711868051795
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T8,terminal,1,0.11535,0.07235881051584597,-0.04299118948415402,0.04299118948415402
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T9,terminal,1,0.12153,0.0795034313579294,-0.042026568642070605,0.042026568642070605
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T10,terminal,1,0.18189,0.09105503120328269,-0.0908349687967173,0.0908349687967173
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T11|T12|T13|T14|T15,internal,5,0.11651,0.029574576777747462,-0.08693542322225253,0.08693542322225253
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T11|T12,internal,2,0.22637,0.10316232868552959,-0.1232076713144704,0.1232076713144704
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T11,terminal,1,0.16094,0.030969891435036197,-0.1299701085649638,0.1299701085649638
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T12,terminal,1,0.14942,0.021462762687594915,-0.12795723731240508,0.12795723731240508
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T13|T14|T15,internal,3,0.18561,0.05565163074183819,-0.12995836925816182,0.12995836925816182
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T13,terminal,1,0.32149,0.0780090181326144,-0.2434809818673856,0.2434809818673856
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:T14|T15,internal,2,0.07113,0.0,-0.07113,0.07113
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T14,terminal,1,0.34439,0.07162009717339324,-0.27276990282660674,0.27276990282660674
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:T15,terminal,1,0.24256,0.08071946735045094,-0.16184053264954906,0.16184053264954906
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T1,terminal,1,0.05696,0.03845074141676278,-0.018509258583237216,0.018509258583237216
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T2|T3,internal,2,0.03472,0.02168140605758115,-0.013038593942418852,0.013038593942418852
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T2,terminal,1,0.02433,0.00803183203926192,-0.01629816796073808,0.01629816796073808
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T3,terminal,1,0.02231,0.022140616228320305,-0.00016938377167969448,0.00016938377167969448
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T1|T2|T3,internal,3,0.01863,0.0064045375071393575,-0.012225462492860644,0.012225462492860644
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T4,terminal,1,0.07771,0.0349880666721135,-0.0427219333278865,0.0427219333278865
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T1|T2|T3|T4,internal,4,0.04682,0.0008437888280845568,-0.04597621117191544,0.04597621117191544
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T5,terminal,1,0.12997,0.05554318111708626,-0.07442681888291375,0.07442681888291375
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T1|T2|T3|T4|T5,internal,5,0.03057,0.04831200534289921,0.017742005342899207,0.017742005342899207
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T6,terminal,1,0.14605,0.07096400747177772,-0.07508599252822229,0.07508599252822229
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T1|T2|T3|T4|T5|T6,internal,6,0.0721,0.0,-0.0721,0.0721
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T10|T7|T8|T9,internal,4,0.08603,0.023906788706009225,-0.062123211293990774,0.062123211293990774
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T7|T8|T9,internal,3,0.05128,0.03512215913271944,-0.01615784086728056,0.01615784086728056
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T7|T8,internal,2,0.02354,0.0,-0.02354,0.02354
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T7,terminal,1,0.11573,0.055039412629415696,-0.060690587370584304,0.060690587370584304
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T8,terminal,1,0.11535,0.05654859982362008,-0.058801400176379914,0.058801400176379914
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T9,terminal,1,0.12153,0.060004134185797725,-0.061525865814202274,0.061525865814202274
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T10,terminal,1,0.18189,0.07570919452352916,-0.10618080547647084,0.10618080547647084
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T11|T12|T13|T14|T15,internal,5,0.11651,0.027925757811676825,-0.08858424218832317,0.08858424218832317
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T11|T12,internal,2,0.22637,0.030447349030321712,-0.19592265096967829,0.19592265096967829
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T11,terminal,1,0.16094,0.0880824074375642,-0.0728575925624358,0.0728575925624358
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T12,terminal,1,0.14942,0.08490669321396113,-0.06451330678603887,0.06451330678603887
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T13|T14|T15,internal,3,0.18561,0.002664664178808467,-0.18294533582119152,0.18294533582119152
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T13,terminal,1,0.32149,0.1253183461736064,-0.1961716538263936,0.1961716538263936
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,internal:T14|T15,internal,2,0.07113,0.003344636080635412,-0.06778536391936459,0.06778536391936459
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T14,terminal,1,0.34439,0.12227034322367789,-0.2221196567763221,0.2221196567763221
KNN-Impute,30,2,56,KNNimpute_completed_p30_rep02_seed56.csv,terminal:T15,terminal,1,0.24256,0.11360144855846444,-0.12895855144153556,0.12895855144153556
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,terminal:T1,terminal,1,0.05696,0.030976092948545392,-0.025983907051454605,0.025983907051454605
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,internal:T2|T3,internal,2,0.03472,0.03025177422172194,-0.004468225778278059,0.004468225778278059
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,terminal:T2,terminal,1,0.02433,0.023776274949094872,-0.0005537250509051288,0.0005537250509051288
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,terminal:T3,terminal,1,0.02231,0.017255873951074287,-0.005054126048925713,0.005054126048925713
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,internal:T1|T2|T3,internal,3,0.01863,0.0,-0.01863,0.01863
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,terminal:T4,terminal,1,0.07771,0.0500802111850855,-0.0276297888149145,0.0276297888149145
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,internal:T1|T2|T3|T4,internal,4,0.04682,0.005286835796279971,-0.04153316420372003,0.04153316420372003
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,terminal:T5,terminal,1,0.12997,0.06568817948264119,-0.06428182051735881,0.06428182051735881
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,internal:T1|T2|T3|T4|T5,internal,5,0.03057,0.02338027080275121,-0.007189729197248789,0.007189729197248789
KNN-Impute,30,3,57,KNNimpute_completed_p30_rep03_seed57.csv,terminal:T6,terminal,1,0.14605,0.08783183789916367,-0.05821816210083634,0.05821816210083634
