,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0,2034,2068,2066,1917,1986,2012,1930,1980,2005,1922,1954,1930,1905,1986
T2,2034,0,1138,1140,2062,2067,2082,2059,2116,2063,2039,2054,2040,2038,2088
T3,2068,1138,0,1207,2062,2049,2084,2030,2055,2116,2021,2037,2028,2016,2063
T4,2066,1140,1207,0,2050,2091,2107,2079,2106,2103,2039,2047,2017,2010,2084
T5,1917,2062,2062,2050,0,1702,1754,1710,1713,1789,536,563,614,608,783
T6,1986,2067,2049,2091,1702,0,1772,1622,804,1768,1670,1714,1674,1651,1734
T7,2012,2082,2084,2107,1754,1772,0,1832,1760,1776,1730,1770,1747,1737,1768
T8,1930,2059,2030,2079,1710,1622,1832,0,1623,1771,1679,1705,1690,1695,1712
T9,1980,2116,2055,2106,1713,804,1760,1623,0,1764,1672,1700,1643,1663,1715
T10,2005,2063,2116,2103,1789,1768,1776,1771,1764,0,1783,1805,1775,1780,1803
T11,1922,2039,2021,2039,536,1670,1730,1679,1672,1783,0,252,581,579,785
T12,1954,2054,2037,2047,563,1714,1770,1705,1700,1805,252,0,588,623,820
T13,1930,2040,2028,2017,614,1674,1747,1690,1643,1775,581,588,0,581,766
T14,1905,2038,2016,2010,608,1651,1737,1695,1663,1780,579,623,581,0,789
T15,1986,2088,2063,2084,783,1734,1768,1712,1715,1803,785,820,766,789,0
