method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,terminal:T1,terminal,1,0.05696,0.025311592833872545,-0.03164840716612745,0.03164840716612745
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,internal:T2|T3,internal,2,0.03472,0.00924995897952102,-0.02547004102047898,0.02547004102047898
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,terminal:T2,terminal,1,0.02433,0.015025049330303094,-0.009304950669696907,0.009304950669696907
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,terminal:T3,terminal,1,0.02231,0.026007099569866143,0.0036970995698661427,0.0036970995698661427
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,internal:T1|T2|T3,internal,3,0.01863,0.0,-0.01863,0.01863
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,terminal:T4,terminal,1,0.07771,0.050326213958312944,-0.027383786041687057,0.027383786041687057
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4,internal,4,0.04682,0.030423924773775864,-0.016396075226224136,0.016396075226224136
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,terminal:T5,terminal,1,0.12997,0.059201033294033936,-0.07076896670596607,0.07076896670596607
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4|T5,internal,5,0.03057,0.0031552693078104595,-0.02741473069218954,0.02741473069218954
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,terminal:T6,terminal,1,0.14605,0.07298664958382611,-0.0730633504161739,0.0730633504161739
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,internal:T1|T2|T3|T4|T5|T6,internal,6,0.0721,0.031109494024171874,-0.04099050597582812,0.04099050597582812
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,internal:T10|T7|T8|T9,internal,4,0.08603,0.0,-0.08603,0.08603
LRMC-SoftImpute,30,1,55,LRMC_SoftImpute_completed_p30_rep01_seed55.csv,internal:T7|T8|T9,internal,3,0.05128,0.012105813956918895,-0.03917418604308111,0.03917418604308111
