method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:Allenopithecus_nigroviridis_KJ434962,terminal,1,0.1474140195,0.06976989662516002,-0.07764412287483997,0.07764412287483997
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,3,0.1544494817,0.019483332801000598,-0.1349661488989994,0.1349661488989994
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959,internal,2,0.0094381611,0.0,-0.0094381611,0.0094381611
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:Cercocebus_atys_KT159932,terminal,1,0.0508580169,0.06086237252694303,0.010004355626943032,0.010004355626943032
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:Cercocebus_torquatus_KJ434959,terminal,1,0.0562685839,0.06752405328090637,0.011255469380906366,0.011255469380906366
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:Cercocebus_chrysogaster_KC757390,terminal,1,0.0511259412,0.06072983845585877,0.009603897255858772,0.009603897255858772
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,4,0.0346917556,0.00971222306907942,-0.024979532530920577,0.024979532530920577
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190|Chlorocebus_djamdjamensis_C5_KU682695,internal,6,0.0834758403,0.03447045053421725,-0.04900538976578275,0.04900538976578275
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190,internal,5,0.012780756,0.005445435576026786,-0.007335320423973214,0.007335320423973214
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,3,0.0048654608,0.0023455163701793383,-0.0025199444298206614,0.0025199444298206614
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:Cercopithecus_aethiops_AY863426,terminal,1,0.0221835236,0.017950747862814895,-0.004232775737185106,0.004232775737185106
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,2,0.0120854426,0.0,-0.0120854426,0.0120854426
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:Chlorocebus_aethiops_C1_KU682691,terminal,1,0.0080961876,0.016689320184418183,0.008593132584418182,0.008593132584418182
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:Chlorocebus_aethiops_MN816163,terminal,1,0.0104642592,0.018208797848447766,0.007744538648447766,0.007744538648447766
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190,internal,2,0.0017398823,0.0,-0.0017398823,0.0017398823
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:Chlorocebus_cynosuros_C3_KU682693,terminal,1,0.0241962287,0.018942240643869162,-0.005253988056130837,0.005253988056130837
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:Chlorocebus_cynosuros_KM262190,terminal,1,0.0250691331,0.019071942227409874,-0.005997190872590128,0.005997190872590128
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:Chlorocebus_djamdjamensis_C5_KU682695,terminal,1,0.0319881948,0.027303720242794927,-0.004684474557205075,0.004684474557205075
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,internal,5,0.0020104988,0.0,-0.0020104988,0.0020104988
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:Cercopithecus_albogularis_KC757391|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956,internal,3,0.0167387771,0.004187886460075297,-0.012550890639924704,0.012550890639924704
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,internal:Cercopithecus_albogularis_KC757391|Cercopithecus_mitis_KJ434956,internal,2,0.0593605632,0.029344184573611293,-0.030016378626388708,0.030016378626388708
MW-proj,30,1,55,MWproj_completed_p30_rep01_seed55.csv,terminal:Cercopithecus_albogularis_KC757391,terminal,1,0.0366651729,0.027117640096903026,-0.009547532803096975,0.009547532803096975
