,Allenopithecus_nigroviridis_KJ434962,Cercocebus_atys_KT159932,Cercocebus_torquatus_KJ434959,Cercocebus_chrysogaster_KC757390,Cercopithecus_aethiops_AY863426,Chlorocebus_aethiops_C1_KU682691,Chlorocebus_aethiops_MN816163,Chlorocebus_cynosuros_C3_KU682693,Chlorocebus_cynosuros_KM262190,Chlorocebus_djamdjamensis_C5_KU682695,Cercopithecus_albogularis_KC757391,Cercopithecus_mitis_KJ434956,Cercopithecus_lhoesti_KJ434957,Cercopithecus_diana_KJ434958,Cercopithecus_neglectus_MW160353
Allenopithecus_nigroviridis_KJ434962,0.0,0.36215967920000003,0.3675702462,0.35298944239999996,0.3054113558,0.3034094624,0.30577753399999996,0.3042984824,0.3051713868,0.2975698102,0.2968807871,0.2934057551,0.29730152,0.3110399471,0.30341923699999995
Cercocebus_atys_KT159932,0.36215967920000003,0.0,0.1071266008,0.1114221192,0.37274299600000005,0.37074110260000004,0.3731091742,0.3716301226,0.37250302700000004,0.3649014504,0.36421242730000003,0.36073739530000004,0.36463316020000003,0.3783715873,0.3707508772
Cercocebus_torquatus_KJ434959,0.3675702462,0.1071266008,0.0,0.1168326862,0.378153563,0.3761516696,0.3785197412,0.37704068960000003,0.377913594,0.3703120174,0.3696229943,0.3661479623,0.3700437272,0.3837821543,0.3761614442
Cercocebus_chrysogaster_KC757390,0.35298944239999996,0.1114221192,0.1168326862,0.0,0.3635727592,0.3615708658,0.3639389374,0.3624598858,0.3633327902,0.35573121360000004,0.35504219049999997,0.3515671585,0.35546292339999996,0.3692013505,0.3615806404
Cercopithecus_aethiops_AY863426,0.3054113558,0.37274299600000005,0.378153563,0.3635727592,0.0,0.0423651538,0.0447332254,0.0529850954,0.0538579998,0.0718179352,0.2380805927,0.2346055607,0.23850132560000004,0.25223975270000004,0.2446190426
Chlorocebus_aethiops_C1_KU682691,0.3034094624,0.37074110260000004,0.3761516696,0.3615708658,0.0423651538,0.0,0.018560446799999998,0.050983202,0.051856106400000004,0.0698160418,0.2360786993,0.23260366729999998,0.23649943220000003,0.25023785930000003,0.2426171492
Chlorocebus_aethiops_MN816163,0.30577753399999996,0.3731091742,0.3785197412,0.3639389374,0.0447332254,0.018560446799999998,0.0,0.0533512736,0.054224178,0.0721841134,0.2384467709,0.2349717389,0.23886750380000002,0.25260593090000005,0.24498522080000001
Chlorocebus_cynosuros_C3_KU682693,0.3042984824,0.3716301226,0.37704068960000003,0.3624598858,0.0529850954,0.050983202,0.0533512736,0.0,0.049265361800000004,0.0707050618,0.2369677193,0.2334926873,0.23738845220000002,0.2511268793,0.2435061692
Chlorocebus_cynosuros_KM262190,0.3051713868,0.37250302700000004,0.377913594,0.3633327902,0.0538579998,0.051856106400000004,0.054224178,0.049265361800000004,0.0,0.07157796620000001,0.2378406237,0.2343655917,0.23826135660000003,0.25199978370000004,0.2443790736
Chlorocebus_djamdjamensis_C5_KU682695,0.2975698102,0.3649014504,0.3703120174,0.35573121360000004,0.0718179352,0.0698160418,0.0721841134,0.0707050618,0.07157796620000001,0.0,0.23023904709999998,0.2267640151,0.23065978,0.24439820710000001,0.236777497
Cercopithecus_albogularis_KC757391,0.2968807871,0.36421242730000003,0.3696229943,0.35504219049999997,0.2380805927,0.2360786993,0.2384467709,0.2369677193,0.2378406237,0.23023904709999998,0.0,0.0698553138,0.19247220510000002,0.2396881864,0.2320674763
Cercopithecus_mitis_KJ434956,0.2934057551,0.36073739530000004,0.3661479623,0.3515671585,0.2346055607,0.23260366729999998,0.2349717389,0.2334926873,0.2343655917,0.2267640151,0.0698553138,0.0,0.1889971731,0.2362131544,0.22859244429999998
Cercopithecus_lhoesti_KJ434957,0.29730152,0.36463316020000003,0.3700437272,0.35546292339999996,0.23850132560000004,0.23649943220000003,0.23886750380000002,0.23738845220000002,0.23826135660000003,0.23065978,0.19247220510000002,0.1889971731,0.0,0.2401089193,0.23248820920000002
Cercopithecus_diana_KJ434958,0.3110399471,0.3783715873,0.3837821543,0.3692013505,0.25223975270000004,0.25023785930000003,0.25260593090000005,0.2511268793,0.25199978370000004,0.24439820710000001,0.2396881864,0.2362131544,0.2401089193,0.0,0.2110432149
Cercopithecus_neglectus_MW160353,0.30341923699999995,0.3707508772,0.3761614442,0.3615806404,0.2446190426,0.2426171492,0.24498522080000001,0.2435061692,0.2443790736,0.236777497,0.2320674763,0.22859244429999998,0.23248820920000002,0.2110432149,0.0
