method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Allenopithecus_nigroviridis_KJ434962,terminal,1,0.1474140195,0.07006719846166502,-0.07734682103833497,0.07734682103833497
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,3,0.1544494817,0.01887874983245571,-0.1355707318675443,0.1355707318675443
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959,internal,2,0.0094381611,0.0,-0.0094381611,0.0094381611
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Cercocebus_atys_KT159932,terminal,1,0.0508580169,0.06130703770805661,0.010449020808056611,0.010449020808056611
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Cercocebus_torquatus_KJ434959,terminal,1,0.0562685839,0.067772480072997,0.011503896172996991,0.011503896172996991
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Cercocebus_chrysogaster_KC757390,terminal,1,0.0511259412,0.060958589878774116,0.00983264867877412,0.00983264867877412
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,4,0.0346917556,0.01002907982865469,-0.02466267577134531,0.02466267577134531
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190|Chlorocebus_djamdjamensis_C5_KU682695,internal,6,0.0834758403,0.034396460960530985,-0.04907937933946902,0.04907937933946902
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190,internal,5,0.012780756,0.004731479928648017,-0.008049276071351984,0.008049276071351984
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,3,0.0048654608,0.001980507640665157,-0.0028849531593348426,0.0028849531593348426
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Cercopithecus_aethiops_AY863426,terminal,1,0.0221835236,0.018953628627084905,-0.0032298949729150962,0.0032298949729150962
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,2,0.0120854426,0.0,-0.0120854426,0.0120854426
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Chlorocebus_aethiops_C1_KU682691,terminal,1,0.0080961876,0.017728912244274368,0.009632724644274367,0.009632724644274367
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Chlorocebus_aethiops_MN816163,terminal,1,0.0104642592,0.019523973476293668,0.009059714276293668,0.009059714276293668
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190,internal,2,0.0017398823,0.0,-0.0017398823,0.0017398823
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Chlorocebus_cynosuros_C3_KU682693,terminal,1,0.0241962287,0.020057084516077746,-0.004139144183922253,0.004139144183922253
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Chlorocebus_cynosuros_KM262190,terminal,1,0.0250691331,0.02081693534447433,-0.0042521977555256725,0.0042521977555256725
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Chlorocebus_djamdjamensis_C5_KU682695,terminal,1,0.0319881948,0.027127528095596022,-0.004860666704403979,0.004860666704403979
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,internal,5,0.0020104988,0.0,-0.0020104988,0.0020104988
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Cercopithecus_albogularis_KC757391|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956,internal,3,0.0167387771,0.004294542073137682,-0.01244423502686232,0.01244423502686232
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Cercopithecus_albogularis_KC757391|Cercopithecus_mitis_KJ434956,internal,2,0.0593605632,0.02913180095702484,-0.03022876224297516,0.03022876224297516
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Cercopithecus_albogularis_KC757391,terminal,1,0.0366651729,0.026956175539205287,-0.009708997360794714,0.009708997360794714
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Cercopithecus_mitis_KJ434956,terminal,1,0.0331901409,0.02667368750769811,-0.006516453392301887,0.006516453392301887
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Cercopithecus_lhoesti_KJ434957,terminal,1,0.096446469,0.05529239907943192,-0.04115406992056809,0.04115406992056809
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,internal:Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,internal,2,0.0175917107,0.0029193461570952203,-0.014672364542904779,0.014672364542904779
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Cercopithecus_diana_KJ434958,terminal,1,0.1093319625,0.06010517380987024,-0.049226788690129766,0.049226788690129766
Hyb-Adam-UM,30,1,55,HybAdamUM_completed_p30_rep01_seed55.csv,terminal:Cercopithecus_neglectus_MW160353,terminal,1,0.1017112524,0.059642215065524445,-0.04206903733447555,0.04206903733447555
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Allenopithecus_nigroviridis_KJ434962,terminal,1,0.1474140195,0.07031869403552699,-0.07709532546447301,0.07709532546447301
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,3,0.1544494817,0.006405894795243762,-0.14804358690475625,0.14804358690475625
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959,internal,2,0.0094381611,0.0005906112636111834,-0.008847549836388817,0.008847549836388817
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Cercocebus_atys_KT159932,terminal,1,0.0508580169,0.0753943439828468,0.02453632708284681,0.02453632708284681
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Cercocebus_torquatus_KJ434959,terminal,1,0.0562685839,0.07567053615442902,0.01940195225442902,0.01940195225442902
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Cercocebus_chrysogaster_KC757390,terminal,1,0.0511259412,0.07620643132311064,0.025080490123110644,0.025080490123110644
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,4,0.0346917556,0.00964792994326922,-0.02504382565673078,0.02504382565673078
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190|Chlorocebus_djamdjamensis_C5_KU682695,internal,6,0.0834758403,0.02737812944610658,-0.05609771085389342,0.05609771085389342
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190,internal,5,0.012780756,0.012384488288428397,-0.0003962677115716042,0.0003962677115716042
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,3,0.0048654608,0.0032144092392408204,-0.0016510515607591793,0.0016510515607591793
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Cercopithecus_aethiops_AY863426,terminal,1,0.0221835236,0.016619705931473192,-0.005563817668526809,0.005563817668526809
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,2,0.0120854426,0.01047511725974851,-0.0016103253402514894,0.0016103253402514894
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Chlorocebus_aethiops_C1_KU682691,terminal,1,0.0080961876,0.010235175498475906,0.002138987898475905,0.002138987898475905
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Chlorocebus_aethiops_MN816163,terminal,1,0.0104642592,0.005937166744902497,-0.004527092455097502,0.004527092455097502
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190,internal,2,0.0017398823,0.0,-0.0017398823,0.0017398823
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Chlorocebus_cynosuros_C3_KU682693,terminal,1,0.0241962287,0.018146406076015108,-0.006049822623984891,0.006049822623984891
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Chlorocebus_cynosuros_KM262190,terminal,1,0.0250691331,0.018348434776592155,-0.006720698323407846,0.006720698323407846
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Chlorocebus_djamdjamensis_C5_KU682695,terminal,1,0.0319881948,0.033414415900246186,0.0014262211002461847,0.0014262211002461847
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Cercopithecus_albogularis_KC757391|Cercopithecus_diana_KJ434958|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956|Cercopithecus_neglectus_MW160353,internal,5,0.0020104988,0.0,-0.0020104988,0.0020104988
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Cercopithecus_albogularis_KC757391|Cercopithecus_lhoesti_KJ434957|Cercopithecus_mitis_KJ434956,internal,3,0.0167387771,0.0002857561788069423,-0.016453020921193058,0.016453020921193058
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Cercopithecus_albogularis_KC757391|Cercopithecus_mitis_KJ434956,internal,2,0.0593605632,0.033001306923855646,-0.026359256276144355,0.026359256276144355
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Cercopithecus_albogularis_KC757391,terminal,1,0.0366651729,0.026887623244117854,-0.009777549655882147,0.009777549655882147
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Cercopithecus_mitis_KJ434956,terminal,1,0.0331901409,0.026742239802785533,-0.006447901097214465,0.006447901097214465
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Cercopithecus_lhoesti_KJ434957,terminal,1,0.096446469,0.059167540130989335,-0.03727892886901067,0.03727892886901067
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,internal:Cercopithecus_diana_KJ434958|Cercopithecus_neglectus_MW160353,internal,2,0.0175917107,0.0009388048964810678,-0.01665290580351893,0.01665290580351893
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Cercopithecus_diana_KJ434958,terminal,1,0.1093319625,0.06258955471103779,-0.046742407788962215,0.046742407788962215
Hyb-Adam-UM,30,2,56,HybAdamUM_completed_p30_rep02_seed56.csv,terminal:Cercopithecus_neglectus_MW160353,terminal,1,0.1017112524,0.06188543850622169,-0.0398258138937783,0.0398258138937783
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:Allenopithecus_nigroviridis_KJ434962,terminal,1,0.1474140195,0.07007542403319944,-0.07733859546680055,0.07733859546680055
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,3,0.1544494817,0.04442292171179566,-0.11002655998820435,0.11002655998820435
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,internal:Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959,internal,2,0.0094381611,0.001735730235295028,-0.007702430864704972,0.007702430864704972
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:Cercocebus_atys_KT159932,terminal,1,0.0508580169,0.036709998113316496,-0.014148018786683501,0.014148018786683501
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:Cercocebus_torquatus_KJ434959,terminal,1,0.0562685839,0.03722019915527223,-0.019048384744727774,0.019048384744727774
Hyb-Adam-UM,30,3,57,HybAdamUM_completed_p30_rep03_seed57.csv,terminal:Cercocebus_chrysogaster_KC757390,terminal,1,0.0511259412,0.03817023968034948,-0.012955701519650517,0.012955701519650517
