method,pct_missing,replicate,mask_seed,file,edge_id,edge_type,edge_descendant_count,branch_length_ref_ML,branch_length_hat_from_completed_matrix,branch_length_error,branch_length_abs_error
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:Allenopithecus_nigroviridis_KJ434962,terminal,1,0.1474140195,0.06325185641885048,-0.08416216308114952,0.08416216308114952
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,3,0.1544494817,0.062139458943514476,-0.09231002275648553,0.09231002275648553
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:Cercocebus_atys_KT159932|Cercocebus_torquatus_KJ434959,internal,2,0.0094381611,0.014600670322377914,0.005162509222377914,0.005162509222377914
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:Cercocebus_atys_KT159932,terminal,1,0.0508580169,0.01442859236196856,-0.03642942453803144,0.03642942453803144
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:Cercocebus_torquatus_KJ434959,terminal,1,0.0562685839,0.014180047590051962,-0.04208853630994804,0.04208853630994804
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:Cercocebus_chrysogaster_KC757390,terminal,1,0.0511259412,0.02289202585831883,-0.028233915341681168,0.028233915341681168
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:Allenopithecus_nigroviridis_KJ434962|Cercocebus_atys_KT159932|Cercocebus_chrysogaster_KC757390|Cercocebus_torquatus_KJ434959,internal,4,0.0346917556,0.0012252679151611037,-0.0334664876848389,0.0334664876848389
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190|Chlorocebus_djamdjamensis_C5_KU682695,internal,6,0.0834758403,0.03813141443856395,-0.045344425861436055,0.045344425861436055
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163|Chlorocebus_cynosuros_C3_KU682693|Chlorocebus_cynosuros_KM262190,internal,5,0.012780756,0.0042696309212953455,-0.008511125078704655,0.008511125078704655
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:Cercopithecus_aethiops_AY863426|Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,3,0.0048654608,0.0,-0.0048654608,0.0048654608
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:Cercopithecus_aethiops_AY863426,terminal,1,0.0221835236,0.01362757380819981,-0.008555949791800192,0.008555949791800192
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,internal:Chlorocebus_aethiops_C1_KU682691|Chlorocebus_aethiops_MN816163,internal,2,0.0120854426,0.012461069761406353,0.00037562716140635347,0.00037562716140635347
KNN-Impute,30,1,55,KNNimpute_completed_p30_rep01_seed55.csv,terminal:Chlorocebus_aethiops_C1_KU682691,terminal,1,0.0080961876,0.009109152600865648,0.0010129650008656472,0.0010129650008656472
